Code,EN,CN,Level
121399,Llama Farmer,骆驼农民,N
121399,Ostrich Farmer,鸵鸟农民,N
121411,Mixed Crop and Livestock Farmer,混合作物和牲畜农民,P
121411,Farmer and Grazier,农民和放牧,A
121411,Cattle and Wheat Farmer,牛和种小麦的农民,S
121411,Lifestyle Block Farmer (NZ),生活方式座农民（ NZ ）,S
121411,Sheep and Wheat Farmer,绵羊和小麦农民,S
131112,Sales and Marketing Manager,销售和营销经理,P
131112,Business Development Manager,业务发展经理,S
131112,Market Research Manager,市场研究经理,S
131113,Advertising Manager,广告经理,P
131114,Public Relations Manager,公共关系经理,P
131114,Communications Manager,传讯经理,A
131114,Corporate Affairs Manager,企业事务经理,A
131114,Corporate Relations Manager,公司事务经理,A
131114,PR Manager,公关经理,A
131114,Public Affairs Manager,公共事务经理,A
131114,Community Relations Manager,社区关系经理,S
131114,External Relations Manager,对外关系经理,S
131114,Media Relations Manager,媒体关系经理,S
132111,Corporate Services Manager,企业服务经理,P
132111,Administration Manager,行政经理,A
132111,Business Services Manager,业务服务管理,A
132211,Financial Administrator,财务管理,S
132211,Finance Manager,财务经理,P
132211,Chief Financial Officer,首席财务官,A
132211,Finance Director,财务总监,A
132211,Financial Controller,财务总监,A
132311,Human Resource Manager,人力资源管理,P
132311,Occupational Health and Safety Manager,职业健康和安全部经理,S
132311,Training and Development Manager,培训与发展经理,S
132311,Workplace Relations Manager,工作场所关系部经理,S
132411,Policy and Planning Manager,政策和规划经理,P
132411,Public Policy Manager,公共政策经理,A
132411,Corporate Planning Manager,企业策划经理,S
132411,Strategic Planning Manager,战略规划经理,S
132511,Research and Development Manager,研究和开发经理,P
133111,Construction Project Manager,施工项目经理,P
133111,Building and Construction Manager,建筑经理,A
133112,Project Builder,项目生成器,P
133112,Professional Builder,专业生成器,A
133211,Engineering Manager,工程部经理,P
133311,Importer or Exporter,进口商或出口商,P
133312,Wholesaler,批发商,P
133411,Manufacturer,生产厂家,P
133511,Production Manager (Forestry),生产经理（林业）,P
133511,Forest Manager,森林经理,A
133511,Forest Logistics Manager (NZ),林物流经理（ NZ ）,S
133511,Forestry Contractor (NZ),林业承包（ NZ ）,S
133511,Harvest Manager (Forestry),嘉实经理（林业）,S
133511,Operations Manager (Forestry),业务经理（林业）,S
133512,Production Manager (Manufacturing),生产经理（制造业）,P
133512,Operations Manager (Production),业务经理（生产部）,S
133512,Plant Manager (Manufacturing) (Aus),工厂经理（制造业） （澳大利亚）,S
133512,Works Manager (Manufacturing) (Aus),工程经理（制造业） （澳大利亚）,S
133513,Production Manager (Mining),生产经理（采矿）,P
133513,Mine Manager,矿山经理,A
133513,Mine Superintendent,矿监,A
133513,Quarry Manager,矿场经理,S
133611,Supply and Distribution Manager,供应及分销经理,P
133611,Logistics Manager,物流经理,S
133611,Logistics Officer (Air Force),后勤主任（空军）,S
133611,Ordnance Corps Officer (Army),军械兵团主任（陆军）,S
133611,Supply Chain Manager,供应链经理,S
133611,Supply Officer (Navy),供应主任（海军）,S
133611,Transport Corps Officer (Army),运输总队主任（陆军）,S
133612,Procurement Manager,采购经理,P
134111,Child Care Centre Manager,幼儿中心经理,P
134111,Child Care Centre Director,幼儿中心主任,A
134111,Child Care Coordinator,儿童看护协调员,A
134211,Medical Administrator (Aus),医疗管理员（AUS）,P
134211,Medical Superintendent (NZ),院长（ NZ ）,P
134211,Medical Manager,医疗管理,A
134211,Director of Clinical Services,临床服务总监,S
134211,Director of Medical Services,医疗服务总监,S
134212,Nursing Clinical Director,护理临床主任,P
134212,Director of Nursing,护理主任,A
134212,Senior Nurse Manager,高级护士经理,A
134212,Assistant Director of Nursing,护理署助理署长,S
134212,Deputy Director of Nursing,护理部副主任,S
134212,Executive Director of Nursing,护理执行董事,S
134213,Primary Health Organisation Manager,基层医疗机构管理,P
134214,Welfare Centre Manager,福彩中心经理,P
134214,Welfare Project Manager,福利项目经理,A
134299,Health and Welfare Services Managers nec,卫生和福利服务经理NEC,P
134299,Director of Pharmacy,药剂科主任,N
134299,Director of Physiotherapy Services,物理治疗服务总监,N
134299,Director of Speech Pathology,言语病理学主任,N
134299,Manager of Allied Health Services,专职医疗服务经理,N
134299,Medical Corps Officer (Army),医疗团主任（陆军）,N
134311,School Principal,校长,P
134311,Headmaster/mistress,校长/情妇,A
134311,Middle or Intermediate School Principal,中等或中等学校校长,S
134311,Primary School Principal,小学校长,S
134311,Secondary School Principal,中学校长,S
134411,Faculty Head,学院负责人,P
134411,Dean (University),迪恩（大学）,S
134411,Head Teacher (TAFE) (Aus),班主任（ TAFE ） （澳大利亚）,S
134412,Regional Education Manager,区域教育服务经理,P
134412,School Administrator,学校管理,S
134499,Education Managers nec,教育管理者NEC,P
134499,Polytechnic Registrar (NZ),理工学院教务长（ NZ ）,N
134499,Project Coordinator (Education),项目协调员（教育）,N
134499,TAFE Registrar (Aus),TAFE过户登记处（AUS）,N
134499,University Registrar,大学注册处,N
135111,Chief Information Officer,首席信息官,P
135111,Chief Technology Officer,首席技术官,A
135112,ICT Project Manager,信息和通信技术项目经理,P
135112,ICT Development Manager,信息和通信技术发展经理,S
135199,ICT Managers nec,信息和通信技术经理NEC,P
135199,IT Service Delivery Manager,IT服务交付经理,N
135199,Network Manager,网管员,N
139111,Commissioned Defence Force Officer,委托国防军总监,P
139111,Air Defence Officer (Air Force) (Aus),防空主任（空军） （澳大利亚）,S
139111,Armoured Corps Officer (Army),装甲兵团主任（陆军）,S
139111,Artillery Officer (Army),炮兵主任（陆军）,S
139111,General Service Officer (Army) (Aus),一般事务主任（陆军） （澳大利亚）,S
139111,Ground Defence Officer (Air Force) (Aus),地面防御主任（空军） （澳大利亚）,S
139111,Infantry Officer (Army),步兵军官（陆军）,S
139111,Military Police Officer (Air Force) (NZ),军事警察（空军） （新西兰）,S
139111,Military Police Officer (Army),军事警察（陆军）,S
139111,Military Police Officer (Navy) (NZ),军事警察（海军） （新西兰）,S
139111,Observer (Navy),观察者（海军）,S
139111,Security Police Officer (Air Force) (Aus),安全警察（空军） （澳大利亚）,S
139111,Special Service Officer (Army) (Aus),特殊服务主任（陆军） （澳大利亚）,S
139112,Commissioned Fire Officer,委托消防官,P
139112,Fire Investigator,火灾调查,S
139112,Inspector (Fire Services),督察（消防）,S
139113,Commissioned Police Officer,委托警官,P
139211,Senior Non-commissioned Defence Force Member,高级士官国防军会员,P
139911,Arts Administrator or Manager,艺管理员或经理,P
139911,Art Gallery Director,画廊总监,S
139911,Community Arts Centre Manager,社区艺术中心经理,S
139911,Cultural Centre Manager,文化中心经理,S
139912,Environmental Manager,环境经理,P
139913,Laboratory Manager,实验室经理,P
139914,Quality Assurance Manager,质量保证经理,P
139914,Quality Facilitator,质量主持人,A
139915,Sports Administrator,体育管理,P
139999,Specialist Managers nec,专业经理人制造业,P
139999,Airport Manager,机场经理,N
139999,Ambassador,大使,N
139999,Archbishop,大主教,N
139999,Bishop,主教,N
139999,Harbour Master,港口大师,N
139999,Security Manager (Non-ICT),安全管理器（非ICT）,N
141111,Cafe or Restaurant Manager,咖啡馆或餐厅经理,P
141111,Food and Beverage Manager,餐饮部经理,A
141111,Restaurateur,餐馆老板,A
141111,Canteen Manager,食堂主管,S
141111,Caterer,熟食店,S
141111,Internet Cafe Manager,网吧管理,S
141211,Caravan Park and Camping Ground Manager,大篷车公园和露营地管理,P
141311,Hotel or Motel Manager,酒店或汽车旅馆经理,P
141311,Hotelier,情定大饭店,A
141311,Publican,税吏,A
141311,Duty Manager (Hotel),值班经理（酒店）,S
141311,Resort Manager,度假村经理,S
141411,Licensed Club Manager,行货俱乐部经理,P
141411,Club Licensee,俱乐部被许可人,A
141411,Gaming Manager,游戏管理器,S
141411,Nightclub Manager,夜总会经理,S
141911,Bed and Breakfast Operator,民宿经营,P
141912,Retirement Village Manager,退休村经理,P
141999,Accommodation and Hospitality Managers nec,住宿和餐饮经理NEC,P
141999,Backpackers Manager,背包客经理,N
141999,Boarding House Manager,宿舍管理员,N
141999,Casino Duty Manager,赌场值班经理,N
141999,Guest House Manager,宾馆经理,N
141999,Hostel Manager,旅馆经理,N
141999,Reception Centre Manager,接待中心经理,N
142111,Fast Food Manager,快餐店经理,S
142111,Retail Bakery Manager,零售面包店经理,S
142111,Retail Manager (General),零售经理（一般）,P
142111,Retail Store Manager,零售店经理,A
142111,Shop Manager,店铺经理,A
142111,Newsagent,报摊,S
142112,Antique Dealer,古董商,P
142113,Betting Agency Manager,博彩营业经理,P
142114,Hair or Beauty Salon Manager,头发或美容沙龙经理,P
142115,Post Office Manager,邮局经理,P
142116,Travel Agency Manager,旅行社经理,P
149111,Amusement Centre Manager,游中心经理,P
149111,Entertainment Centre Manager,娱乐中心经理,A
149111,Bridge Club Manager,桥牌俱乐部经理,S
149111,Fairground Operator,展览中心操作员,S
149111,Video Arcade Manager,视频商场经理,S
149112,Fitness Centre Manager,健身中心经理,P
149113,Sports Centre Manager,体育中心经理,P
149113,Aquatic Centre Manager,水上运动中心经理,S
149113,Golf Course Manager,高尔夫球场管理,S
149113,Indoor Sports Centre Manager,室内体育中心经理,S
149113,Squash Centre Manager,壁球中心经理,S
149113,Stadium Manager,场馆经理,S
149113,Ten Pin Bowling Centre Manager,保龄球中心经理,S
149113,Tennis Centre Manager,网球中心经理,S
149211,Call or Contact Centre Manager,请致电或联系中心经理,P
149212,Customer Service Manager,客户服务经理,P
149212,Client Service Manager,客户服务经理,A
149212,Service Manager,服务管理器,A
149311,Conference and Event Organiser,会议及活动主办单位,P
149311,Event Manager,事件管理器,S
149311,Event Management Consultant,事件管理顾问,A
149311,Exhibition Organiser,展览会主办机构,S
149311,Wedding Coordinator,婚礼协调员,S
149411,Fleet Manager,车队经理,P
149412,Railway Station Manager,火车站经理,P
149413,Transport Company Manager,运输公司经理,P
149413,Bus Company Manager,公交公司经理,S
149413,Car Rental Agency Manager,汽车租赁公司经理,S
149911,Boarding Kennel or Cattery Operator,寄宿犬舍猫舍或操作员,P
149912,Cinema or Theatre Manager,电影院或剧院经理,P
149913,Facilities Manager,设施经理,P
149913,Building Manager,大厦经理,A
149913,Shopping Centre Manager,商场经理,S
149914,Financial Institution Branch Manager,金融机构分公司经理,P
149914,Bank Manager,银行经理,S
149914,Credit Union Manager,信用社经理,S
149915,Equipment Hire Manager,设备租赁经理,P
149999,"Hospitality, Retail and Service Managers nec",酒店，零售及服务经理NEC,P
149999,Abattoir Manager,屠场经理,N
149999,Brothel Keeper,青楼守护者,N
149999,Laundrette Owner,洗衣店老板,N
149999,Marina Manager,滨海经理,N
149999,Nursing Agency Manager,护理营业经理,N
149999,Taxi Proprietor,出租车业主,N
149999,Weight Loss Centre Manager,减肥中心经理,N
211111,Actor,演员,P
211111,Mime Artist,默剧艺术家,S
211111,Voice-over Artist,画外音艺术家,S
211112,Dancer or Choreographer,舞者或编舞,P
211112,Ballet Dancer,芭蕾舞演员,S
211112,Contemporary or Modern Dancer,当代或现代舞蹈家,S
211112,Exotic Dancer,异国情调的舞者,S
211113,Entertainer or Variety Artist,艺人或艺术家品种,P
211113,Busker,街头艺人,S
211113,Circus Artist,马戏艺术家,S
211113,Clown,小丑,S
211113,Comedian,喜剧演员,S
211113,Magician/Illusionist,魔术师/魔术师,S
211113,Puppeteer,操纵木偶的人,S
211113,Ventriloquist,口技,S
211199,"Actors, Dancers and Other Entertainers nec",演员，舞蹈演员和其他表演制造业,P
211199,Circus Trainer,马戏团训练,N
211199,Disc Jockey (Nightclub),唱片骑师（夜总会）,N
211199,Extra (Film or Television),额外的（电影或电视）,N
211199,Motivational Speaker,激励人心的演说,N
211199,Public Speaker,公众演讲,N
211199,Stunt Performer,特技演员,N
211211,Composer,作曲家,P
211211,Music Arranger,音乐编曲,S
211211,Songwriter,词曲作者,S
211212,Music Director,音乐总监,P
211212,Band Leader,乐队的领导者,S
211212,Choral Director,合唱主任,S
211212,Orchestra Conductor,乐团指挥,S
211213,Musician (Instrumental),音乐（器乐）,P
211213,Instrumentalist,乐器演奏,A
211213,Drummer,鼓手,S
211213,Guitarist,吉他手,S
211213,Pianist,钢琴家,S
211213,Violinist,小提琴家,S
211214,Singer,歌手,P
211214,Vocalist,歌手,A
211214,Band Singer,乐队歌手,S
211214,Chorister,唱诗班,S
211214,Commercial Singer (Advertising),商业歌手（广告）,S
211214,Jazz Singer,爵士歌手,S
211214,Opera Singer,歌剧歌手,S
211214,Pop Singer,流行歌手,S
211214,Rock Singer,摇滚歌手,S
211299,Music Professionals nec,音乐专业人员NEC,P
211299,Music Copyist,音乐抄写员,N
211299,Music Researcher,音乐研究员,N
211299,Musicologist,音乐学家,N
211311,Photographer,摄影师,P
211311,Fashion Photographer,时尚摄影师,S
211311,Landscape Photographer,风景摄影师,S
211311,News Photographer,新闻摄影师,S
211311,Photographic Artist,摄影艺术家,S
211311,Portrait Photographer,人像摄影师,S
211311,Sports Photographer,体育摄影师,S
211311,Technical Photographer,技术摄影师,S
211411,Painter (Visual Arts),画家（视觉艺术）,P
211411,Painter (Artistic),画家（艺术）,A
211412,Potter or Ceramic Artist,波特或陶瓷艺术家,P
211413,Sculptor,雕塑家,P
211499,Visual Arts and Crafts Professionals nec,视觉艺术和工艺品专业人员NEC,P
211499,Leadlighter,Leadlighter,N
211499,Multimedia Artist,多媒体艺术家,N
211499,Quilter,奎尔特,N
211499,Textile Artist,纺织艺术家,N
212111,Artistic Director,艺术总监,P
212112,Media Producer (excluding Video),媒体制作（不含视频）,P
212112,Executive Producer,执行制片人,S
212112,Film Producer,电影制片人,S
212112,Stage Producer,舞台监制,S
212112,Television Producer,电视制片人,S
212113,Radio Presenter,电台主持人,P
212113,Radio Announcer,电台播音员,A
212113,Disc Jockey (Radio),唱片骑师（单选）,S
212113,Talkback Host,对讲主机,S
212113,Tourism Radio Presenter,旅游电台主持人,S
212114,Television Presenter,电视节目主持人,P
212211,Author,作者,P
212211,Novelist,小说家,S
212211,Playwright,剧作家,S
212211,Poet,诗人,S
212211,Screenwriter,编剧,S
212211,Script Writer,编剧,S
212212,Book or Script Editor,书或脚本编辑器,P
212212,Script Coordinator,脚本协调员,S
212311,"Art Director (Film, Television or Stage)",艺术总监（电影，电视或舞台）,P
212311,Production Designer,制作设计,A
212312,"Director (Film, Television, Radio or Stage)",导演（电影，电视，收音机或舞台）,P
212313,Director of Photography,摄影指导,P
212313,Cinematographer,放映技师,A
212314,Film and Video Editor,电影和视频编辑器,P
212315,Program Director (Television or Radio),项目总监（电视或广播）,P
212316,Stage Manager,剧务,P
212317,Technical Director,技术总监,P
212317,Technical Producer,技术监制,A
212318,Video Producer,视频制作,P
212399,"Film, Television, Radio and Stage Directors nec",电影，电视，广播和舞台导演制造业,P
212399,Audio Director,音频董事,N
212399,Casting Director,选角导演,N
212399,Lighting Director,灯光总监,N
212399,Location Manager (Film or Television),位置管理器（电影或电视）,N
212411,Copywriter,文案,P
212412,Newspaper or Periodical Editor,报纸或期刊编辑,P
212412,Associate Editor,副主编,A
212412,Features Editor,功能编辑器,S
212412,News Editor,新闻编辑,S
212412,Pictures Editor,图片编辑器,S
212412,Subeditor,副主编,S
212412,Website/Blog Editor,网站/博客编辑器,S
212413,Print Journalist,本刊记者,P
212413,Columnist,专栏作家,S
212413,Feature Writer,功能作家,S
212413,Leader Writer,领导人打火机,S
212413,Newspaper Reporter,本报记者,S
212414,Radio Journalist,电台记者,P
212414,Radio Reporter,电台记者,A
212415,Technical Writer,技术作家,P
212416,Television Journalist,电视记者,P
212416,Television Reporter,电视记者,A
212499,Journalists and Other Writers nec,记者和其他作家制造业,P
212499,Blogger,博客,N
212499,Critic,评论家,N
212499,Editorial Assistant,编辑助理,N
212499,Photo Journalist,摄影记者,N
221111,Accountant (General),会计（一般）,P
221112,Commercial Accountant,商业会计,S
221111,Financial Analyst,金融分析师,S
221111,Insolvency Consultant,破产顾问,S
221111,Insolvency Practitioner,破产从业者,S
221112,Management Accountant,管理会计师,P
221112,Carbon Accountant,碳会计,S
221112,Cost Accountant,成本会计,A
221112,Product Accountant,产品会计师,S
221113,Taxation Accountant,税务会计师,P
221113,Taxation Agent,税务代理,A
221113,Taxation Consultant,税务顾问,A
221211,Company Secretary,公司秘书,P
221212,Corporate Treasurer,公司财务主管,P
221212,Financial Risk Manager,金融风险管理师,A
221213,External Auditor,外部审计员,P
221214,Internal Auditor,内审员,P
221214,Audit Officer,审计官,A
222111,Commodities Trader,大宗商品交易商,P
222111,Commodities Broker,商品经纪商,A
222111,Energy Trader,能源交易,S
222111,Grain Buyer,谷物买家,S
222111,Livestock Trader,牲畜交易,S
222111,Media Buyer,媒体买家,S
222111,Wool Broker,羊毛经纪人,S
222112,Finance Broker,金融经纪,P
222112,Lease Broker,租赁代理,S
222112,Mortgage Broker,抵押贷款经纪人,S
222113,Insurance Broker,保险经纪,P
222199,Financial Brokers nec,金融经纪NEC,P
222199,Investment Broker,投资经纪人,N
222211,Financial Market Dealer,金融市场经销商,P
222211,Money Market Dealer,货币市场经销商,A
222211,Derivatives Trader,衍生工具交易,S
222211,Fixed Interest Dealer,固定利息经销商,S
222211,Foreign Exchange Dealer,外汇交易商,S
222211,Securities Dealer,证券交易商,S
222212,Futures Trader,期货操盘手,P
222213,Stockbroking Dealer,证券经纪交易商,P
222213,Sharebroker,Sharebroker,A
222213,Stockbroker,股票经纪,A
222213,Trading Floor Operator (Stock Exchange),交易大厅运营商（证券交易所）,S
222299,Financial Dealers nec,金融交易商NEC,P
222299,Equities Analyst,股票分析师,N
222311,Financial Investment Adviser,金融投资顾问,P
222311,Financial Planning Adviser,财务策划顾问,A
222312,Financial Investment Manager,金融投资经理,P
222312,Portfolio Manager,投资组合经理,A
222312,Superannuation Funds Manager,养老基金经理,S
222312,Unit Trust Manager,单位信托基金经理,S
223111,Human Resource Adviser,人力资源顾问,P
223111,Human Resource Consultant,人力资源顾问,A
223111,Personnel Officer,人事干事,S
223111,Workforce Planning Analyst,人力资源规划分析,S
223112,Recruitment Consultant,招聘顾问,P
223112,Employment Consultant,就业顾问,A
223112,Casting Agent,铸造代理,S
223112,Literary Agent,文学代理,S
223113,Workplace Relations Adviser,劳资关系顾问,P
223113,Industrial Relations Officer,劳资关系主任,S
223113,Trade Union Official,工会官员,S
223113,Union Organiser,联合主办,S
223211,ICT Trainer,信息和通信技术培训师,P
223211,ICT Educator,信息和通信技术教育家,A
223211,Software Trainer,软件培训师,S
223311,Training and Development Professional,培训与发展专业,P
223311,Training Officer,训练主任,A
223311,Education Officer (Air Force and Army),教育主任（空军和陆军）,S
223311,Training Systems Officer (Navy),训练系统主任（海军）,S
224111,Actuary,精算师,P
224112,Mathematician,数学家,P
224112,Operations Research Analyst,运筹学分析员,S
224113,Statistician,统计学家,P
224113,Biometrician,生物统计学家,S
224113,Demographer,人口统计学,S
224113,Epidemiologist,流行病学,S
224211,Archivist,档案员,P
224211,Film Archivist,电影档案保管员,S
224211,Legal Archivist,法律档案保管员,S
224211,Manuscripts Archivist,手稿档案保管员,S
224211,Parliamentary Archivist,议会档案保管员,S
224212,Gallery or Museum Curator,画廊或博物馆馆长,P
224213,Health Information Manager,卫生信息管理,P
224213,Clinical Trial Data Manager,临床试验数据管理器,S
224213,Health Data Administrator,健康数据管理,S
224214,Records Manager,记录管理,P
224214,Freedom of Information Officer,自由信息官,S
224311,Economist,经济学家,P
224311,Economic Analyst,经济分析师,A
224311,Agricultural Economist,农业经济学家,S
224311,Econometrician,计量经济学家,S
224311,Economic Forecaster,经济预测,S
224311,Environmental Economist,环境经济学家,S
224311,Health Economist,卫生经济学家,S
224311,Labour Market Economist,劳动力市场经济学,S
224311,Mineral Economist,矿产经济学家,S
224311,Taxation Economist,税务经济学,S
224411,Intelligence Officer,情报官,P
224411,Criminal Intelligence Analyst,刑事情报分析员,S
224411,Defence Intelligence Analyst,国防情报分析员,S
224412,Policy Analyst,政策分析师,P
224412,Policy Adviser,政策顾问,A
224412,Foreign Policy Officer,外交政策官员,S
224412,Research and Evaluation Analyst (NZ),研究和评估分析师（ NZ ）,S
224511,Land Economist,土地经济学,P
224511,Property Economist,地产经济学家,A
224511,Asset Manager (Land and Property),资产管理（土地和房产）,S
224512,Valuer,估值师,P
224512,Plant and Machinery Valuer,厂房及机器估值师,S
224512,Property Valuer,物业估值师,S
224512,Real Estate Valuer,房地产评估师,S
224611,Librarian,图书管理员,P
224611,Acquisitions Librarian,收购馆员,S
224611,Audiovisual Librarian,视听图书馆,S
224611,Bibliographer,目录学家,S
224611,Cataloguer,编目,S
224611,Children's Librarian,儿童图书馆,S
224611,Corporate Librarian,企业图书馆,S
224611,Legal Librarian,法律图书馆,S
224611,Multicultural Services Librarian,多元文化图书馆服务,S
224611,Parliamentary Librarian,国会图书馆馆长,S
224611,Reference Librarian,参考馆员,S
224611,Special Librarian,特别馆员,S
224611,Special Needs Librarian,特别需要图书馆员,S
224711,Management Consultant,管理顾问,P
224711,Business Consultant,商业顾问,A
224711,Business Analyst,业务分析师,S
224712,Organisation and Methods Analyst,组织和方法分析,P
224712,Procedures Analyst,程序分析,A
224712,Change Management Facilitator,变更管理协调员,S
224712,Industry Analyst,行业分析,S
224712,Quality Auditor,质量审核员,S
224712,Skills Auditor,核数师的技能,S
224911,Electorate Officer,选民官,P
224912,Liaison Officer,联络主任,P
224912,Aboriginal Liaison Officer,原住民联络官,S
224912,Business Liaison Officer,业务联络主任,S
224912,Community Liaison Officer,社区联络主任,S
224912,Disability Liaison Officer,残疾人联络员,S
224912,Maori Liaison Adviser (NZ),毛利人联络顾问（ NZ ）,S
224912,Police Liaison Officer,警方联络主任,S
224913,Immigration Consultant (NZ),移民顾问（ NZ ）,P
224913,Migration Agent (Aus),移民代理（AUS）,P
224914,Patents Examiner,专利审查员,P
