items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Family class,"2,267","2,311","2,142","1,963","1,820","1,734","1,651","1,593","1,674","1,629"
Economic immigrants,"12,835","11,129","10,406","11,997","12,198","14,683","11,953","11,937","10,553","10,781"
Refugees,"3,527","3,345","2,969","2,479","2,383","2,455","2,747","2,317","2,235","2,303"
Other immigrants,433,560,643,469,493,419,368,389,369,373
Category not stated,0,0,0,1,0,0,0,0,0,0
Total 10 to 14 years of age,"19,062","17,345","16,160","16,909","16,894","19,291","16,719","16,236","14,831","15,086"
Males less than 15 years of age,,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"3,395","3,525","3,360","3,063","2,899","2,770","2,660","2,627","2,871","2,935"
Economic immigrants,"21,357","18,296","17,018","19,323","19,522","25,027","20,848","20,910","18,708","18,509"
Refugees,"4,471","4,243","3,818","3,105","3,136","3,259","3,501","3,008","2,936","3,082"
Other immigrants,452,634,649,554,499,416,388,493,426,485
Category not stated,1,1,0,0,1,0,0,0,0,0
Total males less than 15 years of age,"29,676","26,699","24,845","26,045","26,057","31,472","27,397","27,038","24,941","25,011"
0 to 4 years of age,,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"1,235","1,447","1,456","1,345","1,286","1,183","1,145","1,169","1,298","1,381"
Economic immigrants,"6,824","5,866","5,540","6,118","6,080","8,337","7,194","6,968","6,197","5,947"
Refugees,928,895,885,698,744,792,740,681,670,697
Other immigrants,102,122,93,116,92,58,93,141,115,120
Total 0 to 4 years of age,"9,089","8,330","7,974","8,277","8,202","10,370","9,172","8,959","8,280","8,145"
5 to 9 years of age,,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,959,884,784,735,679,674,661,657,684,689
Economic immigrants,"7,779","6,443","5,961","6,790","7,084","8,955","7,375","7,608","6,935","6,867"
Refugees,"1,726","1,600","1,378","1,111","1,138","1,199","1,360","1,161","1,170","1,197"
Other immigrants,141,228,201,208,144,145,117,137,123,173
Category not stated,1,1,0,0,1,0,0,0,0,0
Total 5 to 9 years of age,"10,606","9,156","8,324","8,844","9,046","10,973","9,513","9,563","8,912","8,926"
10 to 14 years of age,,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"1,201","1,194","1,120",983,934,913,854,801,889,865
Economic immigrants,"6,754","5,987","5,517","6,415","6,358","7,735","6,279","6,334","5,576","5,695"
Refugees,"1,817","1,748","1,555","1,296","1,254","1,268","1,401","1,166","1,096","1,188"
Other immigrants,209,284,355,230,263,213,178,215,188,192
Total 10 to 14 years of age,"9,981","9,213","8,547","8,924","8,809","10,129","8,712","8,516","7,749","7,940"
Females less than 15 years of age,,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"4,046","3,713","3,729","3,099","2,833","2,658","2,526","2,455","2,727","2,728"
Economic immigrants,"19,194","16,449","15,565","17,613","18,058","23,094","19,085","19,199","17,398","17,467"
Refugees,"4,194","3,875","3,522","2,951","2,863","3,063","3,479","2,993","2,871","2,890"
Other immigrants,480,583,618,581,481,373,377,454,436,423
Category not stated,0,0,0,1,0,0,0,0,0,0
Total females less than 15 years of age,"27,914","24,620","23,434","24,245","24,235","29,188","25,467","25,101","23,432","23,508"
0 to 4 years of age,,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"2,062","1,766","1,903","1,423","1,302","1,187","1,087","1,087","1,275","1,260"
Economic immigrants,"6,173","5,414","5,149","5,790","5,716","7,809","6,615","6,666","5,908","5,742"
Refugees,902,794,802,705,685,750,822,657,605,696
Other immigrants,98,101,95,122,81,58,76,146,101,101
Total 0 to 4 years of age,"9,235","8,075","7,949","8,040","7,784","9,804","8,600","8,556","7,889","7,799"
5 to 9 years of age,,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,918,830,804,696,645,650,642,576,667,704
Economic immigrants,"6,940","5,893","5,527","6,241","6,502","8,337","6,796","6,930","6,513","6,639"
Refugees,"1,582","1,484","1,306","1,063","1,049","1,126","1,311","1,185","1,127","1,079"
Other immigrants,158,206,235,220,170,109,111,134,154,141
Total 5 to 9 years of age,"9,598","8,413","7,872","8,220","8,366","10,222","8,860","8,825","8,461","8,563"
10 to 14 years of age,,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"1,066","1,117","1,022",980,886,821,797,792,785,764
Economic immigrants,"6,081","5,142","4,889","5,582","5,840","6,948","5,674","5,603","4,977","5,086"
Refugees,"1,710","1,597","1,414","1,183","1,129","1,187","1,346","1,151","1,139","1,115"
Other immigrants,224,276,288,239,230,206,190,174,181,181
Category not stated,0,0,0,1,0,0,0,0,0,0
Total 10 to 14 years of age,"9,081","8,132","7,613","7,985","8,085","9,162","8,007","7,720","7,082","7,146"
