items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
English,18.6,19.7,18.3,18.7,16.1,14.5,16.7,16,14.2,15.2
French,23.6,23.9,23.8,23.4,23.5,26.6,26.9,25.9,25.2,24.4
Both French and English,33.7,33.8,36.5,37,40.6,38.6,36.6,35.7,32.2,34.2
Neither,24.1,22.6,21.3,20.9,19.8,20.4,19.8,22.4,28.5,26.2
Total Quebec,100,100,100,100,100,100,100,100,100,100
Ontario (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,60,62.5,64.2,67.1,68.8,69,69,65.9,58.6,65.2
French,0.9,1,1.2,1.3,1.2,1.5,1.7,1.5,1.3,0.9
Both French and English,4,3.8,4.2,4.4,4.4,4.2,4.3,3.3,2.9,3.1
Neither,35.1,32.8,30.4,27.3,25.6,25.3,24.9,29.3,37.2,30.9
Total Ontario,100,100,100,100,100,100,100,100,100,100
Manitoba (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,50.4,52.5,53,56.6,61.6,63.7,67.2,66.3,67.4,72
French,1.8,1,1.7,0.9,1,0.8,1.1,1.4,1.5,0.8
Both French and English,2.5,1.6,1.4,1.5,1.6,1.9,1.8,2.4,2.1,1.7
Neither,45.4,44.9,43.9,41,35.8,33.6,29.9,29.8,29,25.5
Total Manitoba,100,100,100,100,100,100,100,100,100,100
Saskatchewan (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,56.5,60.1,56.1,59,62.4,66.3,71.5,68.2,71.8,77.9
French,1.1,0.9,0.9,0.6,0.3,0.5,0.4,0.8,0.3,0.3
Both French and English,5.1,2.4,2.1,2,2,1.4,1.7,1.6,1.2,1.1
Neither,37.2,36.6,40.9,38.4,35.4,31.8,26.5,29.4,26.6,20.7
Total Saskatchewan,100,100,100,100,100,100,100,100,100,100
Alberta (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,56.1,59.6,63.2,69.6,70.5,72.9,73.7,71.3,67.5,76.4
French,0.9,1.3,1.3,1.2,1.1,1,1,1,0.9,0.7
Both French and English,4.1,4.2,4.3,3.6,3.9,3.1,3,2.7,2.1,2.1
Neither,38.9,34.8,31.2,25.7,24.5,23,22.2,25,29.5,20.8
Total Alberta,100,100,100,100,100,100,100,100,100,100
British Columbia (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,49.1,54.5,58.8,61.2,61.8,62.6,66.7,65.7,58.8,65.6
French,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.2,0.2
Both French and English,3.1,3.3,3.7,3.4,3.3,3,3,2.9,2.5,2.4
Neither,47.5,41.9,37.1,35.1,34.4,34.1,30,31,38.5,31.8
Total British Columbia,100,100,100,100,100,100,100,100,100,100
Territories (percentage distribution)**,,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,64,66.9,73.2,74.9,77,80.6,82.7,77.8,76.9,80.2
French,1.2,0.6,0.5,1.7,1.7,1,0.9,0.2,0.4,0.4
Both French and English,3.7,16,6.3,8.7,8.6,4.7,4.6,3.4,4.6,4
Neither,31.1,16.6,20,14.6,12.7,13.6,11.8,18.5,18,15.4
Total Territories**,100,100,100,100,100,100,100,100,100,100
