items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Other Alberta,"1,233","1,377","1,600","1,946","2,898","3,424","3,202","4,542","3,758","4,407"
Total Alberta,"19,405","20,716","20,860","24,201","27,017","32,650","30,961","36,096","36,639","42,530"
British Columbia,,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kelowna,367,403,531,603,605,592,463,549,557,569
Kamloops,124,183,174,225,267,234,212,263,219,219
Chilliwack,185,185,209,216,237,184,182,258,235,236
Abbotsford - Mission,"1,317","1,387","1,306","1,397","1,368","1,360","1,118","1,125","1,220","1,093"
Vancouver,"39,499","36,299","32,956","37,466","34,626","37,339","28,969","29,492","29,509","28,406"
Victoria,"1,204","1,267","1,270","1,491","1,482","1,517","1,277","1,379","1,192","1,365"
Nanaimo,220,211,284,245,284,258,226,205,205,256
Prince George,150,152,142,148,180,175,149,177,189,248
Other British Columbia,"1,704","1,997","2,089","2,201","2,390","2,528","2,190","2,794","2,886","2,778"
Total British Columbia,"44,770","42,084","38,961","43,992","41,439","44,187","34,786","36,242","36,212","35,170"
Yukon,,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Whitehorse,52,56,69,100,156,323,218,250,278,260
Other Yukon,13,9,14,10,18,27,19,29,38,45
Total Yukon,65,65,83,110,174,350,237,279,316,305
Northwest Territories,,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Yellowknife,73,93,71,110,87,108,65,139,113,147
Other Northwest Territories,11,5,17,17,20,29,20,27,37,20
Total Northwest Territories,84,98,88,127,107,137,85,166,150,167
Nunavut,,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total Nunavut,12,12,19,50,10,19,24,20,11,23
