items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Trois-Rivieres,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Granby,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1
Saint-Hyacinthe,0.1,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1
Montreal,14.2,15.3,16.3,15.7,16.9,16.5,18,18.1,17,16.5
Ottawa - Gatineau,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5
Other Quebec,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.9,0.8,0.7
Total Quebec,16.5,17.8,19.1,18.3,19.6,19.2,20.8,21.4,20.1,19.3
Ontario (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ottawa - Gatineau,2.4,2.5,2.4,2.5,2.5,2.6,2.6,2.4,2.3,2
Kingston,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
Peterborough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oshawa,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Toronto,43,39.5,36.8,35.1,32.8,32.8,31.3,30,31.5,29.1
Hamilton,1.8,1.6,1.6,1.5,1.5,1.4,1.3,1.6,1.2,1.2
St. Catharines - Niagara,0.7,0.6,0.6,0.5,0.4,0.4,0.5,0.4,0.4,0.4
Kitchener - Cambridge - Waterloo,1.1,1.3,1.4,1.2,1.1,1.1,1,1,1.1,0.9
Brantford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Guelph,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
London,1.2,1.2,1,0.9,1,1,0.9,0.7,0.8,0.8
Windsor,1.1,1.1,0.9,0.8,0.8,0.7,0.7,0.5,0.6,0.6
Barrie,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Greater Sudbury,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
Other Ontario,1.1,1.1,1.1,1.1,1.2,1.1,0.8,1,0.9,0.8
Total Ontario,53.6,50,47,44.8,42.4,42.1,40,38.4,40,36.8
Manitoba (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Winnipeg,2.4,3.1,3.6,3.3,4,4.4,5.4,4.3,4.3,5.3
Steinbach,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Brandon,0.1,0.1,0.3,0.3,0.5,0.5,0.3,0.2,0.2,0.2
Other Manitoba,0.5,0.7,0.6,0.8,0.8,0.6,0.6,0.6,0.5,0.6
Total Manitoba,3.1,4,4.6,4.5,5.4,5.6,6.4,5.2,5.1,6.2
Saskatchewan (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Regina,0.2,0.3,0.4,0.6,0.8,0.9,1.3,1.5,1.4,1.4
Saskatoon,0.3,0.5,0.7,0.8,1,1.1,1.5,1.7,1.4,1.7
Other Saskatchewan,0.2,0.3,0.4,0.6,0.9,0.7,0.8,1.1,1.3,1.4
Total Saskatchewan,0.8,1.1,1.5,2,2.7,2.7,3.6,4.3,4.1,4.5
Alberta (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Medicine Hat,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lethbridge,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Calgary,4.3,4.7,4.8,5.3,5.4,5.7,6.1,6.5,6.8,7.5
Red Deer,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.4,0.3,0.4
Edmonton,2.3,2.6,2.8,3,3.4,3.9,4.2,4.6,5,5.9
Wood Buffalo,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.5
Other Alberta,0.5,0.5,0.7,0.8,1.1,1.2,1.3,1.8,1.5,1.7
Total Alberta,7.4,8.2,8.8,9.8,10.7,11.6,12.4,14,14.1,16.3
British Columbia (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kelowna,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Kamloops,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chilliwack,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Abbotsford - Mission,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.4
Vancouver,15.1,14.4,13.9,15.2,13.7,13.3,11.6,11.4,11.4,10.9
Victoria,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5
Nanaimo,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Prince George,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Other British Columbia,0.6,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1
Total British Columbia,17.1,16.7,16.5,17.8,16.4,15.7,14,14.1,14,13.5
Yukon (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Whitehorse,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Other Yukon,0,0,0,0,0,0,0,0,0,0
Total Yukon,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Northwest Territories (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Yellowknife,0,0,0,0,0,0,0,0.1,0,0.1
Other Northwest Territories,0,0,0,0,0,0,0,0,0,0
Total Northwest Territories,0,0,0,0.1,0,0,0,0.1,0.1,0.1
Nunavut (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total Nunavut,0,0,0,0,0,0,0,0,0,0
