items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,21.5,17.5,14.6,11.4,9.1,9.5,7.7,7.4,11.5,10.4
Economic immigrants,48,58.1,66.7,75.8,80.4,82,85.5,87.1,82.5,83.6
Refugees,29,23,17.5,11.4,9.4,7.5,6.1,4.9,5.5,5.6
Other immigrants,1.5,1.4,1.1,1.4,1.1,0.9,0.7,0.6,0.4,0.3
Total Saskatchewan,100,100,100,100,100,100,100,100,100,100
Alberta (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,29.2,32.2,32.6,29.5,28.1,22.6,22.1,23.4,29,21.8
Economic immigrants,57.4,54.2,54.1,59.9,61.2,68.6,67,68.1,61.8,69.6
Refugees,11.6,11.3,10.6,7.6,8.3,6.8,8.5,6.2,7.5,6.4
Other immigrants,1.8,2.3,2.8,3,2.4,2,2.3,2.3,1.7,2.2
Total Alberta,100,100,100,100,100,100,100,100,100,100
British Columbia (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,26.2,32,32.4,28.2,30.4,24.6,29.1,32.7,39.6,32.8
Economic immigrants,67.5,61.2,60,65.3,62.5,69.9,63,61,54.5,61.5
Refugees,4.8,4.5,4.8,3.5,3.9,3.8,5.2,4,4.8,4.3
Other immigrants,1.5,2.4,2.7,3,3.1,1.8,2.7,2.3,1,1.3
Category not stated,0,0,0,0,0,0,0,0,0,0
Total British Columbia,100,100,100,100,100,100,100,100,100,100
Territories (percentage distribution)**,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,64,43.4,43.7,31.7,30.2,17.6,22,20.2,21.6,22.2
Economic immigrants,31.7,51.4,44.7,61.7,61.5,78.3,74.6,75.1,74.4,76
Refugees,2.5,1.7,4.7,2.1,0.7,0.4,1.2,1.3,2.3,1.2
Other immigrants,1.9,3.4,6.8,4.5,7.6,3.8,2.3,3.4,1.7,0.6
Total Territories**,100,100,100,100,100,100,100,100,100,100
