items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Source area not stated,0.5,0.8,0.1,0.4,0.1,0.2,0.1,0.1,0.2,0.3
Total New Brunswick,100,100,100,100,100,100,100,100,100,100
Other Atlantic provinces (percentage distribution)Footnote*,,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,19.5,15.4,17.1,12.5,14.7,15.8,23.7,22.4,25,17.8
Asia and Pacific,38,52.4,57.3,64.8,68.7,73.2,63.4,56.1,52.5,65.4
Europe and the United Kingdom,22.2,15,17.2,13.5,9.9,6.6,8,13.4,13,11.2
United States,8.7,8.9,4,4.9,3.9,2.4,2.3,3.8,4.7,2.9
South and Central America,11.6,6.8,3.8,4.2,2.7,1.5,2.4,3.5,4.8,2.6
Source area not stated,0,1.6,0.7,0.1,0.1,0.4,0.1,0.8,0.1,0.1
Total Other Atlantic provincesFootnote*,100,100,100,100,100,100,100,100,100,100
Quebec (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,34.4,38.2,38.8,40,44.3,45.3,42.8,38.9,42.7,48.3
Asia and Pacific,20.9,19.8,16.4,17.7,15.8,15.6,17.2,18,18,15.2
Europe and the United Kingdom,24,21.4,22.3,19.6,19.4,18,16.5,20.4,18,15.8
United States,1.4,2,2,2.2,2,1.5,1.7,1.7,2.1,2.1
South and Central America,19,18.3,20.2,20.4,18.4,19.4,21.7,20.9,19.1,18.4
Source area not stated,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Total Quebec,100,100,100,100,100,100,100,100,100,100
Ontario (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,15.6,16.6,17.3,18.1,19.1,21.3,22,20.7,22.3,20.9
Asia and Pacific,58.4,57.1,54.1,53.9,52.7,53.9,52.4,55.8,54.7,54.7
Europe and the United Kingdom,13.2,12,13,12.5,12.3,10.5,10,9.6,9.7,10
United States,3.2,3.7,4,4.2,3.9,3.4,3.7,3.5,3.7,3.9
South and Central America,9.1,10,11.1,11,11.7,10.5,11.5,10,9.3,9.9
Source area not stated,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.4
Total Ontario,100,100,100,100,100,100,100,100,100,100
Manitoba (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,19.1,18.5,15.6,16,14,14.3,15.9,18.8,23.4,19.6
Asia and Pacific,47.9,51.5,54.5,52.9,61.6,66.4,69.2,64.9,61.9,67
Europe and the United Kingdom,23.8,23.9,20.9,22.6,17,11.9,8.8,9.4,8.5,7.9
United States,2.3,1.8,1.6,1.9,1.7,1.2,1.3,2,1.9,1.6
South and Central America,6.8,4.2,7.4,6.5,5.6,6,4.7,4.9,4.2,3.7
Source area not stated,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Total Manitoba,100,100,100,100,100,100,100,100,100,100
Saskatchewan (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,26.3,22.8,18.1,18.5,15.2,15.8,12.7,11.9,10.8,11.2
Asia and Pacific,40.9,38.7,49,51.2,60.8,61.9,73.6,74.6,73.1,72.3
Europe and the United Kingdom,20.8,25.7,24,22.4,18.8,16.9,8.8,8.9,11,11.4
United States,5.4,5.2,3.8,3.4,2.7,2.3,1.5,1.4,1.9,1.5
South and Central America,6.5,7.4,4.9,4.4,2.5,3.1,3.3,3.3,3.1,3.5
Source area not stated,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1
Total Saskatchewan,100,100,100,100,100,100,100,100,100,100
Alberta (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,14.7,17.2,16,15.8,17.4,18,17,15.3,18.1,16.6
Asia and Pacific,57.7,55.5,55.2,52.9,53.2,57.9,61.7,64.6,61.8,62.5
Europe and the United Kingdom,16.8,15.4,16,17.3,16.7,13.3,10.6,9.3,9.5,9.9
United States,3.8,4.3,4.1,4.7,3.7,2.9,3.3,3.1,3.5,3.1
South and Central America,6.9,7.5,8.6,9,8.8,7.8,7.2,7.6,7.1,7.5
Source area not stated,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.4
Total Alberta,100,100,100,100,100,100,100,100,100,100
British Columbia (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,7.1,8.7,7.9,7.8,8.6,9.5,9.9,9.4,12.3,12.5
Asia and Pacific,73.6,70.2,68.7,69.4,67.9,69.4,68.4,69,66.9,64.7
Europe and the United Kingdom,11.6,11.9,13.1,13.2,14.6,12.9,12.6,12.3,12.2,13.2
United States,4.2,5.5,6.4,5.7,4.8,3.7,4,4.5,4.2,4.6
South and Central America,3.3,3.5,3.7,3.7,4,4.3,4.9,4.8,4.3,4.6
Source area not stated,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.3
Total British Columbia,100,100,100,100,100,100,100,100,100,100
Territories (percentage distribution)Footnote**,,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,14.9,16.6,10.5,10.1,5.5,5.5,5.2,7.1,8.6,8.3
Asia and Pacific,47.2,48,49.5,48.8,60.5,72.5,69.7,74,71.3,70.5
Europe and the United Kingdom,23.6,25.1,22.1,28.2,23,13.6,17.3,14,15.1,12.5
United States,6.2,6.3,8.9,6.3,5.2,5.7,4.9,3,2.7,2.6
South and Central America,8.1,2.9,8.9,6.6,5.8,2.6,2.9,1.9,2.3,6.1
Source area not stated,0,1.1,0,0,0,0,0,0,0,0
Total TerritoriesFootnote**,100,100,100,100,100,100,100,100,100,100
