items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
"Care providers and educational, legal and public protection support occupations","2,645","2,960","2,964","5,025","4,739","4,676","3,608","2,459","2,181","1,654"
Sales representatives and salespersons - wholesale and retail trade,733,652,659,712,806,815,787,892,702,558
Service representatives and other customer and personal services occupations,970,808,886,983,"1,149","1,406","1,600","1,754","1,403","1,157"
"Other installers, repairers and servicers and material handlers",52,47,69,77,84,92,79,76,159,202
Transport and heavy equipment operation and related maintenance occupations,350,452,551,721,918,824,861,780,692,653
"Workers in natural resources, agriculture and related production",140,106,104,102,67,94,165,263,191,122
Processing and manufacturing machine operators and related production workers,174,226,455,479,680,882,767,616,493,521
Assemblers in manufacturing,129,102,126,190,170,179,164,183,143,135
Total Level C - Intermediate and clerical,"6,395","6,578","7,287","9,958","10,547","11,076","10,198","9,309","7,802","6,538"
Level D - Elemental and labourers,,,,,,,,,,
Occupational skill level,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Sales support occupations,153,103,92,121,118,119,197,346,315,250
"Service support and other service occupations, n.e.c.",181,142,125,183,436,943,"1,458","2,172","1,873","1,623"
"Trades helpers, construction labourers and related occupations",299,231,199,251,213,231,187,189,111,61
"Harvesting, landscaping and natural resources labourers",16,5,7,9,10,10,9,18,26,14
"Labourers in processing, manufacturing and utilities",100,54,192,151,272,418,653,577,235,155
Total Level D - Elemental and labourers,749,535,615,715,"1,049","1,721","2,504","3,302","2,560","2,103"
