anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
2621,7135,Database and Systems Administrators and ICT Security Specialists,ICT安全专家,2391,227,2018-04-08,254,27
2631,7136,Computer Network Professionals*,计算机网络专业人士,1318,687,2018-04-08,715,28
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,342,2018-04-08,357,15
2711,7139,Barristers,大律师,1000,0,2018-04-08,1,1
2713,7141,Solicitors,律师,4161,78,2018-04-08,82,4
2723,7144,Psychologists,心理学家,1750,25,2018-04-08,26,1
2725,7146,Social Workers,社会工作者,1562,112,2018-04-08,115,3
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技术,1000,23,2018-04-08,25,2
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,27,2018-04-08,27,0
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,11,2018-04-08,12,1
3211,7169,Automotive Electricians,汽车电工,1000,0,2018-04-08,0,0
3212,7170,Motor Mechanics,电机机械,5980,48,2018-04-08,50,2
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,1,2018-04-08,1,0
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4426,15,2018-04-08,15,0
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,5330,18,2018-04-08,19,1
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,0,2018-04-08,0,0
3241,7178,Panelbeaters,车身修理工,1344,1,2018-04-08,1,0
3311,7181,Bricklayers and Stonemasons,砌砖工和石匠,1271,10,2018-04-08,10,0
3312,7182,Carpenters and Joiners,木匠细木工,6968,18,2018-04-08,18,0
3322,7184,Painting Trades Workers,涂装业职工,2780,5,2018-04-08,5,0
3331,7185,Glaziers,玻璃工,1000,1,2018-04-08,1,0
3332,7186,Plasterers,泥水工,2103,4,2018-04-08,4,0
3334,7188,Wall and Floor Tilers,墙壁和地板瓦工,1407,0,2018-04-08,0,0
3341,7189,Plumbers,管道工,5507,6,2018-04-08,6,0
3411,7190,Electricians,电工,9354,29,2018-04-08,32,3
3421,7191,Airconditioning and Refrigeration Mechanics,空调和制冷机械,1427,4,2018-04-08,4,0
3422,7192,Electrical Distribution Trades Workers,电气成交量分布工作者,1000,0,2018-04-08,0,0
3423,7193,Electronics Trades Workers,电子业职工,1878,23,2018-04-08,23,0
3513,7197,Chefs,厨师,2675,58,2018-04-08,59,1
3941,7211,Cabinetmakers,细工木匠,1905,2,2018-04-08,2,0
3991,7213,Boat Builders and Shipwrights,船建设者和造船工人,1000,0,2018-04-08,0,0
