anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
2534,7126,Psychiatrists,精神科医生,1000,10,2018-05-24,10,0
2535,7127,Surgeons,外科医生,1000,9,2018-05-24,11,2
2539,7128,Other Medical Practitioners,其他医生,1000,276,2018-05-24,290,14
2541,7129,Midwives,助产士,1090,8,2018-05-24,8,0
2544,7132,Registered Nurses,注册护士,16741,787,2018-05-24,802,15
2611,7133,ICT Business and Systems Analysts*,ICT业务和系统分析师,1574,1135,2018-05-24,1150,15
2613,7134,Software and Applications Programmers*,软件和应用程序的程序员,6202,3455,2018-05-24,3513,58
2621,7135,Database and Systems Administrators and ICT Security Specialists,ICT安全专家,2391,265,2018-05-24,279,14
2631,7136,Computer Network Professionals*,计算机网络专业人士,1318,727,2018-05-24,739,12
2633,7138,Telecommunications Engineering Professionals,通信工程专业,1000,364,2018-05-24,373,9
2711,7139,Barristers,大律师,1000,1,2018-05-24,1,0
2713,7141,Solicitors,律师,4161,88,2018-05-24,89,1
2723,7144,Psychologists,心理学家,1750,26,2018-05-24,27,1
2725,7146,Social Workers,社会工作者,1562,117,2018-05-24,118,1
3122,7161,Civil Engineering Draftspersons and Technicians,土木工程起草者和技术,1000,27,2018-05-24,28,1
3123,7162,Electrical Engineering Draftspersons and Technicians,电气工程及其起草者技术员,1000,27,2018-05-24,27,0
3132,7168,Telecommunications Technical Specialists,电信技术专家,1000,12,2018-05-24,12,0
3211,7169,Automotive Electricians,汽车电工,1000,0,2018-05-24,0,0
3212,7170,Motor Mechanics,电机机械,5980,51,2018-05-24,51,0
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,1,2018-05-24,1,0
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4426,15,2018-05-24,15,0
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,5330,19,2018-05-24,19,0
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,0,2018-05-24,0,0
3241,7178,Panelbeaters,车身修理工,1344,1,2018-05-24,1,0
3311,7181,Bricklayers and Stonemasons,砌砖工和石匠,1271,10,2018-05-24,10,0
3312,7182,Carpenters and Joiners,木匠细木工,6968,19,2018-05-24,19,0
3322,7184,Painting Trades Workers,涂装业职工,2780,5,2018-05-24,5,0
3331,7185,Glaziers,玻璃工,1000,1,2018-05-24,1,0
3332,7186,Plasterers,泥水工,2103,4,2018-05-24,4,0
3334,7188,Wall and Floor Tilers,墙壁和地板瓦工,1407,0,2018-05-24,0,0
3341,7189,Plumbers,管道工,5507,6,2018-05-24,6,0
3411,7190,Electricians,电工,9354,33,2018-05-24,34,1
3421,7191,Airconditioning and Refrigeration Mechanics,空调和制冷机械,1427,4,2018-05-24,4,0
3422,7192,Electrical Distribution Trades Workers,电气成交量分布工作者,1000,0,2018-05-24,0,0
3423,7193,Electronics Trades Workers,电子业职工,1878,23,2018-05-24,24,1
3513,7197,Chefs,厨师,2675,62,2018-05-24,63,1
3941,7211,Cabinetmakers,细工木匠,1905,2,2018-05-24,2,0
3991,7213,Boat Builders and Shipwrights,船建设者和造船工人,1000,0,2018-05-24,0,0
