anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
3222,7172,Sheetmetal Trades Workers,钣金业职工,1000,1,2018-06-29,1,0
3223,7173,Structural Steel and Welding Trades Workers,结构钢和焊接业职工,4426,15,2018-06-29,16,1
3232,7175,Metal Fitters and Machinists,金属钳工和机械师,5330,19,2018-06-29,19,0
3233,7176,Precision Metal Trades Workers,精密金属行业工人,1000,0,2018-06-29,0,0
3241,7178,Panelbeaters,车身修理工,1344,1,2018-06-29,1,0
3311,7181,Bricklayers and Stonemasons,砌砖工和石匠,1271,10,2018-06-29,10,0
3312,7182,Carpenters and Joiners,木匠细木工,6968,19,2018-06-29,19,0
3322,7184,Painting Trades Workers,涂装业职工,2780,5,2018-06-29,5,0
3331,7185,Glaziers,玻璃工,1000,1,2018-06-29,1,0
3332,7186,Plasterers,泥水工,2103,4,2018-06-29,4,0
3334,7188,Wall and Floor Tilers,墙壁和地板瓦工,1407,0,2018-06-29,0,0
3341,7189,Plumbers,管道工,5507,6,2018-06-29,6,0
3411,7190,Electricians,电工,9354,35,2018-06-29,36,1
3421,7191,Airconditioning and Refrigeration Mechanics,空调和制冷机械,1427,4,2018-06-29,4,0
3422,7192,Electrical Distribution Trades Workers,电气成交量分布工作者,1000,0,2018-06-29,0,0
3423,7193,Electronics Trades Workers,电子业职工,1878,24,2018-06-29,25,1
3513,7197,Chefs,厨师,2675,64,2018-06-29,66,2
3941,7211,Cabinetmakers,细工木匠,1905,2,2018-06-29,2,0
3991,7213,Boat Builders and Shipwrights,船建设者和造船工人,1000,0,2018-06-29,0,0
