rccn,rc,statecn,state,rcid,topicid
洛杉矶区域中心,"Alexico Los Angeles Regional Center, LLC",加利福尼亚,California,ID1425151879,13877
Alexico纽约区域中心,"Alexico New York Regional Center, LLC",纽约,New York,ID1413551757,13878
Alexico纽约区域中心,"Alexico New York Regional Center, LLC",新泽西,New Jersey,ID1413551757,13879
Alexico纽约区域中心,"Alexico New York Regional Center, LLC",康涅狄格,Connecticut,ID1413551757,13880
联盟区域中心|绿洲成长伙伴,Alliance Regional Center | Oasis Growth Partners LLC,加利福尼亚,California,ID1031910099,13881
联盟艺术家高漠EB5区域中心,Allied Artist High Desert EB5 Regional Center,新墨西哥,New Mexico,ID1210950645,13882
阿罗哈区域中心,"Aloha Regional Center, LLC",夏威夷,Hawaii,ID1031910006,13883
阿尔图拉区域中心,"Altura Regional Center, LLC",加利福尼亚,California,ID1424551871,13884
爱梅馨区域中心,"Amaxi Regional Center, LLC",加利福尼亚,California,ID1431651974,13885
美国加利福尼亚州最佳发展区域中心,"America Best California Development Regional Center, LLC",加利福尼亚,California,ID1220250711,13886
美洲开发投资中心区域中心,America Development Investment Center Regional Center,乔治亚,Georgia,ID1215250673,13887
美洲开发投资中心区域中心,America Development Investment Center Regional Center,阿拉巴马,Alabama,ID1215250673,13888
美国西部区域中心,"America West Regional Center, LLC",亚利桑那,Arizona,ID1224050742,13889
美国区域中心,"America’s Regional Center, LLC",佛罗里达,Florida,ID1320551181,13890
美国区域中心,"America’s Regional Center, LLC",伊利诺斯,Illinois,ID1511852676,13891
美国区域中心,"America’s Regional Center, LLC",印第安纳,Indiana,ID1511852676,13892
美国区域中心,"America’s Regional Center, LLC",威斯康星,Wisconsin,ID1511852676,13893
美国进步投资有限公司,American Advancement Capital Co.,加利福尼亚,California,ID1320451180,13894
美国联盟区域中心,American Alliance Regional Center,加利福尼亚,California,ID1109050190,13895
美国阿尔通区域中心,American Altin Regional Center,加利福尼亚,California,ID1224150743,13896
美国野心区域中心芝加哥,"American Ambition Regional Center Chicago, LLC",伊利诺斯,Illinois,ID1301751068,13897
美国西雅图桥区域中心,"American Bridge Seattle Regional Center, LLC",华盛顿,Washington,ID1233950829,13898
美国建筑商区域中心,American Builders Regional Center,佛罗里达,Florida,ID1034350100,13899
美国加利福尼亚州区域中心,American California Regional Center,加利福尼亚,California,ID1219850704,13900
美国FX区域中心,"America FX Regional Center, LLC",加利福尼亚,California,ID1506352614,13901
美国海岸区域中心,American Coast Regional Center,加利福尼亚,California,ID1416951782,13902
美洲开发及投资区域中心,American Development and Investment Regional Center,加利福尼亚,California,ID1034350086,13903
美国梦基金芝加哥区域中心,"American Dream Fund Chicago Regional Center, LLC",伊利诺斯,Illinois,ID1423051850,13904
美国梦基金芝加哥区域中心,"American Dream Fund Chicago Regional Center, LLC",威斯康星,Wisconsin,ID1423051850,13905
美国梦基金芝加哥区域中心,"American Dream Fund Chicago Regional Center, LLC",印第安纳,Indiana,ID1423051850,13906
美国梦基金夏威夷区域中心,"American Dream Fund Hawaii Regional Center, LLC",夏威夷,Hawaii,ID1420251820,13907
美国梦基金旧金山区域中心,"American Dream Fund San Francisco Regional Center, LLC",加利福尼亚,California,ID1334351326,13908
美国EB-5中心,American EB-5 Centers,佛罗里达,Florida,ID1205950601,13909
美国EB-5房地产区域中心,"American EB-5 Properties Regional Center, LLC",新泽西,New Jersey,ID1435652190,13910
美国EB-5房地产区域中心,"American EB-5 Properties Regional Center, LLC",康涅狄格,Connecticut,ID1435652190,13911
美国EB-5房地产区域中心,"American EB-5 Properties Regional Center, LLC",纽约,New York,ID1435652190,13912
美国Everglow区域中心,"American Everglow Regional Center, LLC",加利福尼亚,California,ID1332651296,13913
美国特许经营区域中心,American Franchise Regional Center LLC,加利福尼亚,California,ID1034350087,13914
美国网关投资有限责任公司,"American Gateway Investments, LLC",新泽西,New Jersey,ID1127050319,13915
美国门户区域中心,American Gateway Regional Center,加利福尼亚,California,ID1034350083,13916
美国通用地产顾问区域中心,American General Realty Advisors Regional Center,加利福尼亚,California,ID1106250174,13917
美国格陵兰岛区域中心,American Greenland Regional Center,加利福尼亚,California,ID1034350088,13918
美国移民集团NYRC,American Immigration Group-NYRC,康涅狄格,Connecticut,ID1426051887,13919
美国移民集团NYRC,American Immigration Group-NYRC,纽约,New York,ID1426051887,13920
美国移民集团NYRC,American Immigration Group-NYRC,新泽西,New Jersey,ID1426051887,13921
美国国际风险投资基金 - 俄勒冈,"American International Venture Fund - Oregon, LLC",俄勒冈,Oregon,ID1307251106,13922
美国投资和移民中心,"American Investment and Immigration Center, LLC",乔治亚,Georgia,ID1034350097,13923
美国借贷中心佛罗里达州,"American Lending Center Florida, LLC",佛罗里达,Florida,ID1432851998,13924
美国借贷中心格鲁吉亚,"American Lending Center Georgia, LLC",乔治亚,Georgia,ID1508952636,13925
美国借贷中心伊利诺斯,"American Lending Center Illinois, LLC",伊利诺斯,Illinois,ID1504452596,13926
美国借贷中心（原美国就业发展借贷中心）,American Lending Center LLC (former name United States Employment Development Lending Center),加利福尼亚,California,ID1031910173,13927
美国借贷中心纽约区域中心,"American Lending Center New York Regional Center, LLC",新泽西,New Jersey,ID1436352268,13928
美国借贷中心纽约区域中心,"American Lending Center New York Regional Center, LLC",纽约,New York,ID1436352268,13929
美国借贷中心纽约区域中心,"American Lending Center New York Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1436352268,13930
美国借贷中心俄亥俄,"American Lending Center Ohio, LLC",俄亥俄,Ohio,ID1514052717,13931
美国自由联盟,American Liberty Alliance,加利福尼亚,California,ID1332951300,13932
美国的自由区域中心,"American Liberty Regional Center, LLC",佛罗里达,Florida,ID1131250348,13933
美国生命发展有限公司,American Life Development Company LLC,加利福尼亚,California,ID1031910106,13934
美国生活有限公司区域中心 - 西雅图（金彩虹和Gateway自由基金),American Life Inc. Regional Center - Seattle (Golden Rainbow & Gateway Freedom Fund),华盛顿,Washington,ID1031910127,13935
美国生活有限公司区域中心 - 西雅图（金彩虹和Gateway自由基金),American Life Inc. Regional Center - Seattle (Golden Rainbow & Gateway Freedom Fund),俄勒冈,Oregon,ID1031910127,13936
美国生活投资有限责任公司,"American Life Investments, LLC",佛罗里达,Florida,ID1031910192,13937
美国生活风险投资公司-华盛顿州塔科马,"American Life Ventures, Tacoma, Washington",华盛顿,Washington,ID1031910142,13938
美国生活有限公司- 雷克伍德区域中心,"American Life, Inc. - Lakewood Regional Center",华盛顿,Washington,ID1031910098,13939
美国物流[国际]区域中心,American Logistics [International] Regional Center,加利福尼亚,California,ID1031910121,13940
美国国家移民和教育中心有限责任公司,American National Immigration and Education Center LLC,维吉尼亚,Virginia,ID1435252134,13941
美国国家移民和教育中心有限责任公司,American National Immigration and Education Center LLC,马里兰,Maryland,ID1435252134,13942
美国国家移民和教育中心有限责任公司,American National Immigration and Education Center LLC,西维吉尼亚,West Virginia,ID1435252134,13943
美国国家移民和教育中心有限责任公司,American National Immigration and Education Center LLC,哥伦比亚特区,District of Columbia,ID1435252134,13944
美国国家区域中心南加州,American National Regional Center Southern California,加利福尼亚,California,ID1513952714,13945
美国北马里亚纳群岛区域中心,"American Northern Marianas Regional Center, LLC",北马里亚纳群岛自由联邦,Commonwealth of Northern Marianas Islands,ID1226950769,13946
美国西北区域中心,"American NW Regional Center, LLC",华盛顿,Washington,ID1315451155,13947
美国石油区域中心,American Oil Regional Center,宾夕法尼亚,Pennsylvania,ID1229850792,13948
美国机会区域中心,"American Opportunities Regional Center, Inc.",华盛顿,Washington,ID1133450363,13949
美国机会区域中心,American Opportunity Regional Center LLC,佛罗里达,Florida,ID1034850133,13950
美国太平洋酒店区域中心,American Pacific Hotels Regional Center,加利福尼亚,California,ID1208350617,13951
美国直通车区域中心,"American Pathway Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1228650783,13952
美国先锋区域中心,"American Pioneer Regional Center, LLC",伊利诺斯,Illinois,ID1435852254,13953
美国先锋区域中心,"American Pioneer Regional Center, LLC",印第安纳,Indiana,ID1435852254,13954
美国先锋区域中心,"American Pioneer Regional Center, LLC",威斯康星,Wisconsin,ID1435852254,13955
美国重建区域中心/美国重建解决方案公司,American Redevelopment RC / American Redevelopment Solutions LLC,加利福尼亚,California,ID1031910091,13956
美国创业区域中心,American Regional Center for Entrepreneurs,纽约,New York,ID1205250597,13957
美国区域中心机会基金有限责任公司,"American Regional Center Opportunity Fund, LLC",新泽西,New Jersey,ID1421151833,13959
美国区域中心机会基金有限责任公司,"American Regional Center Opportunity Fund, LLC",宾夕法尼亚,Pennsylvania,ID1421151833,13960
美国区域中心机会基金有限责任公司,"American Regional Center Opportunity Fund, LLC",纽约,New York,ID1421151833,13961
美国区域中心有限责任公司,"American Regional Center, LLC",德克萨斯,Texas,ID1116750230,13962
美国区域中心 - 拉斯维加斯,"American Regional Center-Las Vegas, LLC",内华达,Nevada,ID1318651173,13963
美国可再生能源投资移民区域中心,"American Renewable Energy Investments Regional Center, LLC",俄勒冈,Oregon,ID1323251196,13964
美国太阳区域中心,American Sun Regional Center,加利福尼亚,California,ID1129050334,13965
美联区域中心,American United EB-5 Regional Center,俄勒冈,Oregon,ID1031910044,13966
美国万蒂奇区域中心,American Vantage Regional Center,加利福尼亚,California,ID1034350085,13967
美国风险解决方案区域中心,American Venture Solutions Regional Center,佛罗里达,Florida,ID1031910037,13968
美国视觉区域中心,American Vision Regional Center,德克萨斯,Texas,ID1318651172,13969
美国YiYo区域中心,American YiYo Regional Center,乔治亚,Georgia,ID1217250693,13970
AmericaNow - 费城地铁区域中心,"AmericaNow – Philadelphia Metro Regional Center, LLC",马里兰,Maryland,ID1314051141,13971
AmericaNow - 费城地铁区域中心,"AmericaNow – Philadelphia Metro Regional Center, LLC",特拉华,Delaware,ID1314051141,13972
AmericaNow - 费城地铁区域中心,"AmericaNow – Philadelphia Metro Regional Center, LLC",新泽西,New Jersey,ID1314051141,13973
AmericaNow - 费城地铁区域中心,"AmericaNow – Philadelphia Metro Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1314051141,13974
美国投资移民中心,America's Center for Foreign Investment,阿拉巴马,Alabama,ID1031910090,13975
美国投资移民中心,America's Center for Foreign Investment,密西西比,Mississippi,ID1031910090,13976
美国投资移民中心,America's Center for Foreign Investment,佛罗里达,Florida,ID1031910090,13977
美国投资移民中心,America's Center for Foreign Investment,乔治亚,Georgia,ID1031910090,13978
美国投资移民中心,America's Center for Foreign Investment,田纳西,Tennessee,ID1031910090,13979
美洲绿卡中心,Americas Green Card Regional Center,缅因,Maine,ID1406551698,13980
美洲绿卡中心,Americas Green Card Regional Center,马萨诸塞州,Massachusetts,ID1406551698,13981
美洲绿卡中心,Americas Green Card Regional Center,新罕布什尔,New Hampshire,ID1406551698,13982
美联资本区域中心,Ameri-Link Capital Regional Center,德克萨斯,Texas,ID1129250338,13983
"AmWealth, LP","AmWealth, LP",华盛顿,Washington,ID1305651094,13984
阿纳卡斯蒂亚区域中心,Anacostia Regional Center,哥伦比亚特区,District of Columbia,ID1031910104,13985
Anchor解决方案区域中心,"Anchor Solutions Regional Center, LLC",加利福尼亚,California,ID1424151870,13986
APIC区域中心,"APIC Regional Center, LLC",俄勒冈,Oregon,ID1031910078,13987
阿巴拉契亚EB-4区域中心,Appalachian EB-5 Regional Center,北卡罗来纳,North Carolina,ID1209050633,13988
阿巴拉契亚EB-5区域中心,Appalachian EB-5 Regional Center,田纳西,Tennessee,ID1209050633,13989
凯旋大西洋区域中心,"ARC Atlantic Regional Center, LLC",加利福尼亚,California,ID1409051723,13990
ARCG加州区域中心（原名加州能源投资中心,ARCG California Regional Center LLC (former name California Alternative Energy Regional Center LLC),加利福尼亚,California,ID1313051133,13991
ARCG佛罗里达区域中心,"ARCG Florida Regional Center, LLC",佛罗里达,Florida,ID1421251836,13992
ARCG内华达州区域中心（原名地热区域中心）,ARCG Nevada Regional Center LLC (former name Geothermal Regional Center LLC),内华达,Nevada,ID1109550191,13993
沃扎客区域中心,Ark of the Ozarks LLC,堪萨斯,ArKansas,ID1508552635,13994
亚利桑那州替代能源中心,"Arizona Alternative Energy Center, LLC",亚利桑那,Arizona,ID1113750204,13995
阿肯色州区域经济发展中心,"Arkansas Regional Economic Development Center, LLC",堪萨斯,ArKansas,ID1232050815,13996
阿肯色州区域经济发展中心,"Arkansas Regional Economic Development Center, LLC",俄克拉荷马,Oklahoma,ID1232050815,13997
艺术区洛杉矶区域中心,"Art District Los Angeles Regional Center, LLC",加利福尼亚,California,ID1308851116,13998
阿伦德尔资本合伙人,Arundel Capital Partners,马萨诸塞州,Massachusetts,ID1204850591,13999
"AscendAmerica, LLC","AscendAmerica, LLC",新泽西,New Jersey,ID1335251379,14000
"AscendAmerica, LLC","AscendAmerica, LLC",康涅狄格,Connecticut,ID1335251379,14001
"AscendAmerica, LLC","AscendAmerica, LLC",宾夕法尼亚,Pennsylvania,ID1335251379,14002
"AscendAmerica, LLC","AscendAmerica, LLC",纽约,New York,ID1335251379,14003
阿什克罗夫特/沙利文新英格兰经济发展中心,Ashcroft/Sullivan New England Economic Development Center,马萨诸塞州,Massachusetts,ID1431151966,14004
阿什克罗夫特/沙利文新英格兰经济发展中心,Ashcroft/Sullivan New England Economic Development Center,罗德岛州,Rhode Island,ID1431151966,14005
阿什克罗夫特/沙利文/ Baybridge大西洋中部经济开发中心,Ashcroft/Sullivan/Baybridge Mid-Atlantic Economic Development Center,马里兰,Maryland,ID1426251890,14006
亚特兰大EB5区域中心,Atlanta EB5 Regional Center LLC,乔治亚,Georgia,ID1031910163,14007
大西洋城市区域中心,Atlantic City Regional Center,新泽西,New Jersey,ID1127950330,14008
大西洋外商投资区域中心,"Atlantic Regional Center for Foreign Investment, LLC (ARCFi)",北卡罗来纳,North Carolina,ID1031910189,14009
BA区域中心,"BA Regional Center, LLC",维吉尼亚,Virginia,ID1421151832,14010
BA区域中心,"BA Regional Center, LLC",哥伦比亚特区,District of Columbia,ID1421151832,14011
BA区域中心,"BA Regional Center, LLC",西维吉尼亚,West Virginia,ID1421151832,14012
BA区域中心,"BA Regional Center, LLC",马里兰,Maryland,ID1421151832,14013
巴特投资集团有限责任公司,"Bart Investment Group, LLC",佛罗里达,Florida,ID1507052623,14014
湾区区域中心,Bay Area Regional Center LLC,加利福尼亚,California,ID1031910105,14015
Baypointe EB5区域中心,"Baypointe EB5 Regional Center, LLC",阿拉巴马,Alabama,ID1435252136,14016
伯克利区域中心基金有限责任公司,"Berkeley Regional Center Fund, LL",加利福尼亚,California,ID1316551161,14017
比佛利山庄房屋集团有限责任公司,"Beverly Hills Housing Group, LLC",加利福尼亚,California,ID1321151183,14018
大苹果区域中心,Big Apple Regional Center,新泽西,New Jersey,ID1408551717,14019
大苹果区域中心,Big Apple Regional Center,宾夕法尼亚,Pennsylvania,ID1408551717,14020
大苹果区域中心,Big Apple Regional Center,纽约,New York,ID1408551717,14021
桦木资本弗吉尼亚州里士满区域中心,Birch Capital Richmond Virginia Regional Center,维吉尼亚,Virginia,ID1201250570,14022
桦木MD产业园区域中心,Birch MD BioPark Regional Center,马里兰,Maryland,ID1103950157,14023
桦木迈阿密达德区域中心,Birch Miami Dade Regional Center,佛罗里达,Florida,ID1310051121,14024
桦木北卡罗莱纳州区域中心,Birch North Carolina Regional Center,北卡罗来纳,North Carolina,ID1217850697,14025
BirchLEAF迈阿密31，LLC区域中心,"BirchLEAF Miami 31, LLC Regional Center",佛罗里达,Florida,ID1031910170,14026
佛罗里达州医疗区域中心,"BLMP Florida Healthcare Regional Center, LLC",佛罗里达,Florida,ID1208050614,14027
BLT三态区域中心,BLT TriState Regional Center LLC,新泽西,New Jersey,ID1415551773,14028
BLT三态区域中心,BLT TriState Regional Center LLC,纽约,New York,ID1415551773,14029
BLT三态区域中心,BLT TriState Regional Center LLC,康涅狄格,Connecticut,ID1415551773,14030
蓝带区域中心,"Blue Ribbon Regional Center, LLC",伊利诺斯,Illinois,ID1113350203,14031
蓝草国际基金有限责任公司,"Bluegrass International Fund, LLC",印第安纳,Indiana,ID1410451731,14032
蓝草国际基金有限责任公司,"Bluegrass International Fund, LLC",肯塔基,Kentucky,ID1410451731,14033
蓝草国际基金区域中心,"Bluegrass International Fund Regional Center, LLC",肯塔基,Kentucky,ID1410451731,14034
波士顿区域中心,Boston Regional Center,马萨诸塞州,Massachusetts,ID1427651898,14035
布鲁克斯市基地区域中心,Brooks City-Base Regional Center,德克萨斯,Texas,ID1119550244,14036
Build America Capital Partners Regional Center LLC,Build America Capital Partners Regional Center LLC,加利福尼亚,California,ID1127650325,14037
"Build America Fund 1, LLC","Build America Fund 1, LLC",加利福尼亚,California,ID1135750422,14038
CA EB5 Express,CA EB5 Express,加利福尼亚,California,ID1405051688,14039
Cal Pacific RC LLC,Cal Pacific RC LLC,加利福尼亚,California,ID1408751718,14040
加州蓝天区域中心,"California Blue Sky Regional Center, LLC",加利福尼亚,California,ID1315751158,14041
加州投资区域中心,"California Capital Investment Regional Center, LLC",加利福尼亚,California,ID1407651708,14042
加州农产品出口集团,California Consortium for Agricultural Export (CCAE),加利福尼亚,California,ID1031910155,14043
加利福尼亚发展区域中心,California Development Regional Center,加利福尼亚,California,ID1202050578,14044
加州经济发展基金有限责任公司,"California Economic Development Fund, LLC",加利福尼亚,California,ID1315451154,14045
加州能源投资中心,California Energy Investment Center,加利福尼亚,California,ID1031910100,14046
加利福尼亚州外国投资和移民中心,"California Foreign Investment and Immigration Center, LLC",加利福尼亚,California,ID1236150923,14047
投资未来,California Future Partners,加利福尼亚,California,ID1208150615,14048
加利福尼亚全球联盟区域中心/刘易斯C.纳尔逊＆Sons公司,"California Global Alliance Regional Center c/o Lewis C. Nelson & Sons, Inc.",加利福尼亚,California,ID1031910108,14049
加州黄金基金,California Golden Fund,加利福尼亚,California,ID1033650021,14050
加州金太平洋区域中心有限责任公司（原美国金太平洋区域中心有限责任公司）,"California Golden Pacific Regional Center, LLC (former name U.S. Golden Pacific Regional Center, LLC)",加利福尼亚,California,ID1134250380,14051
加州绿色区域中心,California Green Regional Center,加利福尼亚,California,ID1031910187,14052
加州温室农场区域中心,California Greenhouse Farm Regional Center,加利福尼亚,California,ID1114050205,14053
加州国际区域中心,California International Regional Center LLC,加利福尼亚,California,ID1201350573,14054
加州投资移民基金,"California Investment Immigration Fund, LLC (CIIF)",加利福尼亚,California,ID1031910133,14055
加州投资区域中心,"California Investment Regional Center, LLC",加利福尼亚,California,ID1312651131,14056
"California One Investment Center, LLC","California One Investment Center, LLC",加利福尼亚,California,ID1326051211,14057
加州太平洋集团区域中心,California Pacific Group Regional Center,加利福尼亚,California,ID1031910199,14058
加州太平洋区域中心,"California Pacific Regional Center, Inc",加利福尼亚,California,ID1218050698,14059
加州房地产区域中心,California Real Estate Regional Center,加利福尼亚,California,ID1034250070,14060
加州区域中心,"California Regional Center, LLC",加利福尼亚,California,ID1031910067,14061
美国加利福尼亚州区域中心,California State Regional Center,加利福尼亚,California,ID1034350091,14062
加州阳光区域中心,California Sunshine Regional Center LLC,加利福尼亚,California,ID1127150321,14063
加利福尼亚酒厂和葡萄园有限责任公司区域中心,"California Wineries & Vineyards, LLC Regional Center (CWVRC)",加利福尼亚,California,ID1031910125,14064
CanAm佛罗里达区域中心,"CanAm Florida Regional Center, LLC",佛罗里达,Florida,ID1414151759,14065
首都圈区域中心,Capital Area Regional Center (CARC),马里兰,Maryland,ID1031910117,14066
首都圈区域中心,Capital Area Regional Center (CARC),维吉尼亚,Virginia,ID1031910117,14067
首都圈区域中心,Capital Area Regional Center (CARC),哥伦比亚特区,District of Columbia,ID1031910117,14068
"Capital United Regional Center, LLC","Capital United Regional Center, LLC",纽约,New York,ID1315651157,14069
"Capital United Regional Center, LLC","Capital United Regional Center, LLC",新泽西,New Jersey,ID1315651157,14070
加勒比区域中心,"Caribbean Regional Center, LLC",波多黎各,Puerto Rico,ID1323951202,14071
加勒比美国经济发展区域中心,Caribbean USA Economic Development Regional Center,波多黎各,Puerto Rico,ID1331751279,14072
卡罗来纳外商投资中心,Carolina Center for Foreign Investment RC,北卡罗来纳,North Carolina,ID1031910103,14073
卡罗来纳外商投资中心,Carolina Center for Foreign Investment RC,南卡罗来纳,South Carolina,ID1031910103,14074
卡罗来那EB-5RTP区域中心,"Carolina EB-5 RTP Regional Center, LLC",北卡罗来纳,North Carolina,ID1215750679,14075
卡罗来那全球区域中心,Carolina Global Regional Center Corporation,北卡罗来纳,North Carolina,ID1224250744,14076
卡罗来那全球区域中心,Carolina Global Regional Center Corporation,南卡罗来纳,South Carolina,ID1224250744,14077
卡罗来那发展区域中心,"Carolina Growth Regional Center, LLC",北卡罗来纳,North Carolina,ID1226550767,14078
卡罗来纳州国家区域中心,"Carolina States Regional Center, LLC",南卡罗来纳,South Carolina,ID1231850804,14079
卡罗来纳州国家区域中心,"Carolina States Regional Center, LLC",北卡罗来纳,North Carolina,ID1231850804,14080
亚利桑那州中部区域中心,Central Arizona Regional Center,亚利桑那,Arizona,ID1031910200,14081
加州中部区域中心,"Central California Regional Center, LLC",加利福尼亚,California,ID1315151153,14082
中佛罗里达EB5区域中心,Central Florida EB5 Regional Center,佛罗里达,Florida,ID1330451257,14083
德克萨斯州中部房地产区域中心,Central Texas Properties Regional Center,德克萨斯,Texas,ID1318951174,14084
德克萨斯州中部区域中心,Central Texas Regional Center,德克萨斯,Texas,ID1031910074,14085
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),密苏里,Missouri,ID1505552608,14086
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),印第安纳,Indiana,ID1505552608,14087
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),宾夕法尼亚,Pennsylvania,ID1505552608,14088
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),密歇根,Michigan,ID1505552608,14089
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),伊利诺斯,Illinois,ID1505552608,14090
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),俄亥俄,Ohio,ID1505552608,14091
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),堪萨斯,Kansas,ID1505552608,14092
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),威斯康星,Wisconsin,ID1505552608,14093
中西部区域中心有限责任公司（原美国中西部地区区域中心）,Central Western Regional Center LLC (former name USA Midwest Regional Center LLC),肯塔基,Kentucky,ID1505552608,14094
世纪美国区域中心,Century American Regional Center,加利福尼亚,California,ID1031910058,14095
世纪纽约城市区域中心,Century New York City Regional Center,纽约,New York,ID1420251818,14096
夏洛港区域中心,Charlotte Harbor Regional Center,佛罗里达,Florida,ID1031910198,14097
特许投资者财务有限责任公司（美国前美国财务有限责任公司）,Charter Investor Financial LLC (former name Charter USA Financial LLC),佛罗里达,Florida,ID1234250845,14098
特许广场区域中心有限责任公司,"Charter Square Regional Center, LLC",加利福尼亚,California,ID1217250692,14099
Chen Roberts 区域中心,Chen Roberts Regional Center,俄克拉荷马,Oklahoma,ID1127850329,14100
切萨皮克区域中心,"Chesapeake Regional Center, LLC",马里兰,Maryland,ID1306051099,14101
切萨皮克区域中心,"Chesapeake Regional Center, LLC",哥伦比亚特区,District of Columbia,ID1306051099,14102
切萨皮克区域中心,"Chesapeake Regional Center, LLC",西维吉尼亚,West Virginia,ID1306051099,14103
切萨皮克区域中心,"Chesapeake Regional Center, LLC",维吉尼亚,Virginia,ID1306051099,14104
芝加哥第一区域中心,Chicago First Regional Center Inc,伊利诺斯,Illinois,ID1508452633,14105
芝加哥医疗基金区域中心,Chicago Healthcare Fund Regional Center,威斯康星,Wisconsin,ID1217350694,14106
芝加哥医疗基金区域中心,Chicago Healthcare Fund Regional Center,伊利诺斯,Illinois,ID1217350694,14107
芝加哥医疗基金区域中心,Chicago Healthcare Fund Regional Center,印第安纳,Indiana,ID1217350694,14108
芝加哥地铁区域中心,"Chicago Metro Regional Center, LLC",伊利诺斯,Illinois,ID1129150336,14109
芝加哥外国投资集团区域中心,Chicagoland Foreign Investment Group (CFIG) Regional Center,印第安纳,Indiana,ID1031910114,14110
芝加哥外国投资集团区域中心,Chicagoland Foreign Investment Group (CFIG) Regional Center,明尼苏达,Minnesota,ID1031910114,14111
