company
"<a href=""http://www.c-byte.com/"" target=""_blank"">C-Byte Inc	</a>"
"<a href=""http://www.callgenie.ca/"" target=""_blank"">Call Genie Inc.	</a>"
"<a href=""web"" target=""_blank"">Cardiff Systems Inc	</a>"
"<a href=""http://www.cathexis.com/"" target=""_blank"">Cathexis Innovations Inc.	</a>"
"<a href=""http://www.celcorp.com.br/"" target=""_blank"">Celcorp	</a>"
"<a href=""http://www.challengergeomatics.com/"" target=""_blank"">Challenger Geomatics Ltd	</a>"
"<a href=""http://www.chronologic.co.uk"" target=""_blank"">Chronologic Systems Ltd.	</a>"
"<a href=""http://www.ciphersoftinc.com/"" target=""_blank"">CipherSoft Inc	</a>"
"<a href=""http://www.circuits.net/"" target=""_blank"">Circuits Consulting Services Inc	</a>"
"<a href=""web"" target=""_blank"">CL Tools Inc.	</a>"
"<a href=""http://claero.com/"" target=""_blank"">Claero Systems	</a>"
"<a href=""http://www.goloskygroup.com/"" target=""_blank"">ClearStream Consulting Inc	</a>"
"<a href=""http://www.collaborativelearning.org"" target=""_blank"">CLINICARE Corporation	</a>"
"<a href=""http://www.collaborativelearning.org"" target=""_blank"">Collaborative Learning Network Inc	</a>"
"<a href=""http://www.compu-creations.com"" target=""_blank"">Compu-Creations	</a>"
"<a href=""http://www.cmgl.ca/"" target=""_blank"">Computer Modelling Group Ltd.	</a>"
"<a href=""http://www.computronix.com/"" target=""_blank"">Computronix Holdings Ltd.	</a>"
"<a href=""web"" target=""_blank"">Concillio Inc	</a>"
"<a href=""http://www.caddeveloper.com/"" target=""_blank"">Cornerstone Graphic Systems Inc	</a>"
"<a href=""http://www.cornwallpartners.com/"" target=""_blank"">Cornwall Partners Limited	</a>"
"<a href=""www.corviddevelopment.com"" target=""_blank"">Corvid Development Inc	</a>"
"<a href=""web"" target=""_blank"">Cquay Inc.	</a>"
"<a href=""web"" target=""_blank"">CRCS Inc	</a>"
"<a href=""http://www.crocusplains.com/"" target=""_blank"">Crocus Plains Software Ltd	</a>"
"<a href=""http://www.csdtechnologiesinc.com/"" target=""_blank"">CSD Technologies Inc	</a>"
"<a href=""http://www.csi-wireless.com/"" target=""_blank"">CSI Wireless Inc.	</a>"
"<a href=""web"" target=""_blank"">CSM Systems Inc	</a>"
"<a href=""http://www.cybergb.com/"" target=""_blank"">Cyber Works	</a>"
"<a href=""http://www.cyberdex.ca/"" target=""_blank"">Cyberdex Systems Consulting Corp.	</a>"
"<a href=""http://www.datec-group.com/"" target=""_blank"">Datec Group Ltd.	</a>"
"<a href=""web"" target=""_blank"">Debian Information Technology Inc	</a>"
"<a href=""web"" target=""_blank"">Delaronde Engineering Inc	</a>"
"<a href=""http://www.devstudios.com/"" target=""_blank"">DevStudios Inc	</a>"
"<a href=""http://dglsoftware.com"" target=""_blank"">DGL Software Services Ltd.	</a>"
"<a href=""http://www.digascent.com/"" target=""_blank"">Digital Ascent Inc	</a>"
"<a href=""http://www.digitalmatter.co.za/"" target=""_blank"">Digital Matter Corporation	</a>"
"<a href=""http://www.digital-blues.com/"" target=""_blank"">digital-blues.com	</a>"
"<a href=""http://www.divestco.com/"" target=""_blank"">Divestco Inc	</a>"
"<a href=""http://www.dktek.com/"" target=""_blank"">DKTek Software Corporation	</a>"
"<a href=""http://www.dynetek.com/"" target=""_blank"">Dynetek Industries Ltd.	</a>"
"<a href=""http://www.egton.net/"" target=""_blank"">Egton Software Services	</a>"
"<a href=""web"" target=""_blank"">EMSTAR Ltd	</a>"
"<a href=""http://www.encomwireless.com/"" target=""_blank"">ENCOM Wireless Data Solutions Inc	</a>"
"<a href=""http://www.energynavigator.com/"" target=""_blank"">Energy Navigator Inc	</a>"
"<a href=""web"" target=""_blank"">Enfocom International Corporation	</a>"
"<a href=""http://www.entero.com/"" target=""_blank"">Entero Corporation	</a>"
"<a href=""https://www.envirosoft.ca"" target=""_blank"">Envirosoft Products Inc	</a>"
"<a href=""www.eventiq.com"" target=""_blank"">eventIQ inc	</a>"
"<a href=""http://www.explorer-software.com/"" target=""_blank"">EXPLORER Software Solutions Ltd	</a>"
"<a href=""http://www.fatsystems.com/"" target=""_blank"">Fat Systems Inc.	</a>"
"<a href=""web"" target=""_blank"">Firewall Security Solutions Inc	</a>"
"<a href=""http://www.flemingairflow.com/"" target=""_blank"">Fleming & Associates Inc.	</a>"
"<a href=""http://www.fundsoft.com/"" target=""_blank"">FundSoft Information Systems	</a>"
"<a href=""web"" target=""_blank"">G. Michaels Consulting Ltd	</a>"
"<a href=""http://www.genesiscommunications.biz/"" target=""_blank"">Genesis Communication Inc.	</a>"
"<a href=""http://www.geoarctic.com/"" target=""_blank"">GeoArctic Ltd.	</a>"
"<a href=""http://www.givemepower.com/"" target=""_blank"">GiveMePower Corporation	</a>"
"<a href=""http://www.glenbriar.com/"" target=""_blank"">Glenbriar Technologies Inc.	</a>"
"<a href=""web"" target=""_blank"">Global CADD Systems Corporation	</a>"
"<a href=""http://www.globaledgesys.com/"" target=""_blank"">Global Edge Systems & Wireless Inc	</a>"
"<a href=""http://www.globaltradeconnect.com/"" target=""_blank"">GlobalTradeConnect.com	</a>"
"<a href=""http://www.globi.ca/splash.php"" target=""_blank"">Globi Web Solutions	</a>"
"<a href=""http://www.habaneroconsulting.com/"" target=""_blank"">Haba Nero Consulting Group	</a>"
"<a href=""http://hatsize.com/"" target=""_blank"">Hatsize	</a>"
"<a href=""http://www.hiwsurveys.com/"" target=""_blank"">HIW Surveys Ltd	</a>"
"<a href=""http://www.hotbuttonsolutions.com/"" target=""_blank"">HotButton Solutions Inc.	</a>"
"<a href=""web"" target=""_blank"">iAppeal	</a>"
"<a href=""http://www.icesoft.org/java/home.jsf"" target=""_blank"">ICEsoft Technologies Inc	</a>"
"<a href=""http://www.profitek.com/"" target=""_blank"">InfoSpec Systems Inc	</a>"
"<a href=""http://www.informationinc.net"" target=""_blank"">INFRAmation Inc	</a>"
"<a href=""http://www.wipsoftware.com/"" target=""_blank"">Internet Concepts Ltd	</a>"
"<a href=""http://www.internetmatrix.com/"" target=""_blank"">Internet Matrix Inc	</a>"
"<a href=""http://interthink.ca/"" target=""_blank"">Interthink Consulting , Inc.	</a>"
"<a href=""http://www.ironlava.com/"" target=""_blank"">Iron Lava Corp	</a>"
"<a href=""web"" target=""_blank"">IT Architects	</a>"
"<a href=""web"" target=""_blank"">ITP Web Solutions Inc	</a>"
"<a href=""http://ivrnet.com/"" target=""_blank"">Ivrnet Inc	</a>"
"<a href=""http://www.jencess.com/"" target=""_blank"">Jencess Software & Technologies , Inc.	</a>"
"<a href=""http://www.jet-label.com/"" target=""_blank"">Jet Label Gallery	</a>"
"<a href=""http://www.k-par.com/"" target=""_blank"">K-PAR Archiving Software Ltd	</a>"
"<a href=""http://www.kydotech.com/"" target=""_blank"">KYDO TECH Inc	</a>"
"<a href=""www.laden.ca"" target=""_blank"">LADEN Steel Fabricators Inc	</a>"
"<a href=""http://www.lemberg-systems.com/"" target=""_blank"">Lemberg Systems. , Company	</a>"
"<a href=""http://www.lexicoreinc.com/"" target=""_blank"">Lexicore Inc	</a>"
"<a href=""http://www.logicorpllc.com/"" target=""_blank"">Logicorp	</a>"
"<a href=""http://www.lugg.com/"" target=""_blank"">Lugg Computing Inc	</a>"
"<a href=""web"" target=""_blank"">M-Tech Information Technology Inc	</a>"
"<a href=""web"" target=""_blank"">Mactavish Professional Services	</a>"
"<a href=""http://www.madentec.com/"" target=""_blank"">Madentec Limited	</a>"
"<a href=""http://www.marketwebsolutions.com#sthash.9SiP0Z36.dpuf"" target=""_blank"">Market Web Solutions Inc	</a>"
"<a href=""http://www.masterworkssoftware.com/"" target=""_blank"">MasterWorks Software Systems Ltd.	</a>"
"<a href=""http://www.mbase.com/"" target=""_blank"">mBase.com Inc	</a>"
"<a href=""http://www.mediadog.ca/"" target=""_blank"">Media Dog Productions Inc	</a>"
"<a href=""http://www.megawheels.com/"" target=""_blank"">Megawheels Inc.	</a>"
"<a href=""http://www.mentoreng.com/"" target=""_blank"">Mentor Engineering Inc	</a>"
"<a href=""http://www.microhardcorp.com/"" target=""_blank"">Microhard Systems Inc.	</a>"
"<a href=""http://www.microlynxsystems.com/"" target=""_blank"">Microlynx Systems Ltd.	</a>"
"<a href=""http://www.misoftprog.com/"" target=""_blank"">Misoftprog Canada	</a>"
"<a href=""http://www.montagetech.com/"" target=""_blank"">Montage Technologies , Inc.	</a>"
"<a href=""web"" target=""_blank"">MSI Systems Integration Ltd	</a>"
"<a href=""http://www.myrias.com/"" target=""_blank"">Myrias Computer Technologies , Inc.	</a>"
"<a href=""http://www.n-tier.com"" target=""_blank"">N-Tier Inc	</a>"
"<a href=""web"" target=""_blank"">National Medical Solutions Inc	</a>"
"<a href=""http://www.navteq.com/"" target=""_blank"">NAVTEQ Corporation	</a>"
"<a href=""web"" target=""_blank"">NE2 Corp	</a>"
"<a href=""web"" target=""_blank"">Neotechnology Consultants Ltd.	</a>"
"<a href=""http://www.netera.ca/"" target=""_blank"">Netera Alliance	</a>"
"<a href=""web"" target=""_blank"">NextLibrary Inc	</a>"
"<a href=""http://www.nolanwalker.com/"" target=""_blank"">Nolan Walker Consulting Inc	</a>"
"<a href=""http://www.osconsulting.net/"" target=""_blank"">O'Sullivan Systems Consulting Ltd.	</a>"
"<a href=""http://www.omni-ts.com/"" target=""_blank"">Omni Technology Solutions Inc	</a>"
"<a href=""http://www.obsglobal.com/"" target=""_blank"">Online Business Systems	</a>"
"<a href=""http://onlinedc.com"" target=""_blank"">Online Data Consulting Ltd	</a>"
"<a href=""http://www.opendoor.ca/"" target=""_blank"">Open Door Technology Inc	</a>"
"<a href=""http://www.openbsd.org"" target=""_blank"">OpenBSD	</a>"
"<a href=""http://www.openssh.com"" target=""_blank"">OpenSSH	</a>"
"<a href=""http://oti-c4s.com/"" target=""_blank"">Optimal Technologies International Inc.	</a>"
"<a href=""http://www.ormed.com"" target=""_blank"">Ormed Information Systems Ltd.	</a>"
"<a href=""http://www.pcnimbus.com/"" target=""_blank"">pcNimbus Inc	</a>"
"<a href=""https://www.pdf-tools.com"" target=""_blank"">PDF Tools AG	</a>"
"<a href=""web"" target=""_blank"">PiperCreek Software Ltd	</a>"
"<a href=""http://www.pocketop.net"" target=""_blank"">Pocketop Inc	</a>"
"<a href=""http://www.pointapex.com"" target=""_blank"">PointApex Technologies Incorporated	</a>"
"<a href=""web"" target=""_blank"">Polaris Technologies Ltd	</a>"
"<a href=""web"" target=""_blank"">PPM	</a>"
"<a href=""web"" target=""_blank"">Prairie Sun Creations Inc.	</a>"
"<a href=""http://www.praiseinc.com/"" target=""_blank"">Praize Inc	</a>"
"<a href=""http://www.prowarecomputing.com/"" target=""_blank"">Pro-Ware Computing Inc	</a>"
"<a href=""http://www.psinaptic.com/"" target=""_blank"">PsiNaptic Inc	</a>"
"<a href=""http://www.quadrus.com"" target=""_blank"">Quadrus Development Inc	</a>"
"<a href=""http://www.quantera.com/"" target=""_blank"">Quantera Global Inc.	</a>"
"<a href=""http://www.raptek.com"" target=""_blank"">Rapid Technology Corporation	</a>"
"<a href=""http://www.realpagemaker.com"" target=""_blank"">RealPageMaker	</a>"
"<a href=""http://www.reconpetro.com"" target=""_blank"">RECON Petrotechnologies Ltd	</a>"
"<a href=""http://www.redengine.com#sthash.lhiHGaoz.dpuf"" target=""_blank"">Redengine Inc.	</a>"
"<a href=""http://www.remsoft.com/cn/"" target=""_blank"">Remsoft Inc.	</a>"
"<a href=""http://www.sabresoft.com/"" target=""_blank"">Sabre Software & Consulting Ltd.	</a>"
"<a href=""http://www.safefreight.com/"" target=""_blank"">Safefreight Technology Corporation	</a>"
"<a href=""http://www.siconix.com"" target=""_blank"">Siconix Inc	</a>"
"<a href=""web"" target=""_blank"">Software Ventures Ltd.	</a>"
"<a href=""http://www.solidhouse.com/"" target=""_blank"">Solidhouse	</a>"
"<a href=""web"" target=""_blank"">Sports Injuries Online Inc	</a>"
"<a href=""http://www.startech.ca"" target=""_blank"">Startech Business Systems Ltd	</a>"
"<a href=""web"" target=""_blank"">Sterne Stackhouse Inc	</a>"
"<a href=""http://www.strathcom.ca/"" target=""_blank"">STRATHCOM MEDIA INC.	</a>"
"<a href=""http://www.suitcaseinteractive.com"" target=""_blank"">Suitcase Interactive Inc	</a>"
"<a href=""web"" target=""_blank"">Sunaptic Solutions Incorporated	</a>"
"<a href=""http://www.sunergon.com"" target=""_blank"">Sunergon Information Services , Inc.	</a>"
"<a href=""http://www.sylogist.com"" target=""_blank"">Sylogist Ltd.	</a>"
"<a href=""http://www.synergyfarmsolutions.com"" target=""_blank"">Synergy Farm Solutions	</a>"
"<a href=""web"" target=""_blank"">TAMA Inc.	</a>"
"<a href=""http://www.ttoolboxes.com"" target=""_blank"">Technical Toolboxes Canada Ltd	</a>"
"<a href=""http://www.technologynorth.net"" target=""_blank"">Technology North Corporation	</a>"
"<a href=""http://www.teilhardtech.com/"" target=""_blank"">Teilhard Technologies Inc	</a>"
"<a href=""http://www.teleplus.ab.ca"" target=""_blank"">Tele-Plus Management Inc	</a>"
"<a href=""http://www.telin.com"" target=""_blank"">Telin Systems Ltd	</a>"
"<a href=""http://www.templetechnologies.com"" target=""_blank"">Temple Technologies	</a>"
"<a href=""http://www.terrasoftware.com"" target=""_blank"">Terra Software Corporation	</a>"
"<a href=""web"" target=""_blank"">The A4W Consulting Group	</a>"
"<a href=""http://www.proactivegroup.net/"" target=""_blank"">The Proactive Group	</a>"
"<a href=""http://www.hfthimm.com"" target=""_blank"">Thimm Engineering Inc	</a>"
"<a href=""http://tin-warrior.com/"" target=""_blank"">Tin Warrior	</a>"
"<a href=""http://www.titandigitalcorp.com/"" target=""_blank"">Titan Digital Corporation	</a>"
"<a href=""web"" target=""_blank"">TLD Computers Inc. , incorporated	</a>"
"<a href=""http://www.trakware.com"" target=""_blank"">Trakware Systems Inc.	</a>"
"<a href=""http://www.treetopt.com"" target=""_blank"">Treetop Tech Inc	</a>"
"<a href=""http://www.trinustech.com"" target=""_blank"">Trinus Technologies Inc	</a>"
"<a href=""http://www.tuckerenergy.com/"" target=""_blank"">Tucker Wireline Services Canada Inc.	</a>"
"<a href=""http://www.twinsolutions.ca/"" target=""_blank"">Twin Solutions Inc	</a>"
"<a href=""http://www.unicusdata.com/"" target=""_blank"">Unicus Data Systems Ltd	</a>"
"<a href=""http://www.upsidesoft.com/"" target=""_blank"">Upside Software Inc	</a>"
"<a href=""http://www.vestrion.org"" target=""_blank"">Vestrion Systems Incorporated	</a>"
"<a href=""http://www.viaticam.com"" target=""_blank"">Viaticam Ltd	</a>"
"<a href=""http://viewpoint.com/"" target=""_blank"">Viewpoint Support Inc	</a>"
"<a href=""http://www.viniq.com"" target=""_blank"">VIN IQ Inc.	</a>"
"<a href=""http://www.vtn-tech.com/"" target=""_blank"">VTN Technologies Inc.	</a>"
"<a href=""http://warp-internet-labs-inc.alberta.canadab.com/"" target=""_blank"">Warp Internet Labs Inc	</a>"
"<a href=""web"" target=""_blank"">Web Technology Service Provider	</a>"
"<a href=""web"" target=""_blank"">Web-Sters Systems Inc	</a>"
"<a href=""http://www.wellpointsystems.com/"" target=""_blank"">WellPoint Systems Inc.	</a>"
"<a href=""http://www.wizgod.com"" target=""_blank"">Wizgod Inc	</a>"
"<a href=""web"" target=""_blank"">Woodside Research Ltd	</a>"
"<a href=""http://worldprofit.com/"" target=""_blank"">Worldprofit Inc	</a>"
"<a href=""http://www.yottayotta.com/"" target=""_blank"">YottaYotta , Inc.	</a>"
"<a href=""http://www.zcl.com"" target=""_blank"">ZCL Composites Inc.	</a>"
"<a href=""http://www.zicorp.com/"" target=""_blank"">Zi Corporation	</a>"
"<a href=""http://www.zotero.org"" target=""_blank"">Zokero Inc.	</a>"
