company,web
Absolute Projects,http://www.absoluteprojects.com
"AbundanceNet	",http://www.abundancenet.com
"Datec Group Ltd.	",http://www.datec-group.com/
"Debian Information Technology Inc	",
"Delaronde Engineering Inc	",
"DevStudios Inc	",http://www.devstudios.com/
"DGL Software Services Ltd.	",http://dglsoftware.com
"Digital Ascent Inc	",http://www.digascent.com/
"Digital Matter Corporation	",http://www.digitalmatter.co.za/
"digital-blues.com	",http://www.digital-blues.com/
"Divestco Inc	",http://www.divestco.com/
"DKTek Software Corporation	",http://www.dktek.com/
"Dynetek Industries Ltd.	",http://www.dynetek.com/
"Egton Software Services	",http://www.egton.net/
"EMSTAR Ltd	",
"ENCOM Wireless Data Solutions Inc	",http://www.encomwireless.com/
"Energy Navigator Inc	",http://www.energynavigator.com/
"Enfocom International Corporation	",
"Entero Corporation	",http://www.entero.com/
"Envirosoft Products Inc	",https://www.envirosoft.ca
"eventIQ inc	",http://www.eventiq.com
"EXPLORER Software Solutions Ltd	",http://www.explorer-software.com/
"Fat Systems Inc.	",http://www.fatsystems.com/
"Firewall Security Solutions Inc	",
"Fleming & Associates Inc.	",http://www.flemingairflow.com/
"FundSoft Information Systems	",http://www.fundsoft.com/
"G. Michaels Consulting Ltd	",
"Genesis Communication Inc.	",http://www.genesiscommunications.biz/
"GeoArctic Ltd.	",http://www.geoarctic.com/
"GiveMePower Corporation	",http://www.givemepower.com/
"Glenbriar Technologies Inc.	",http://www.glenbriar.com/
"Global CADD Systems Corporation	",
"Global Edge Systems & Wireless Inc	",http://www.globaledgesys.com/
"GlobalTradeConnect.com	",http://www.globaltradeconnect.com/
"Globi Web Solutions	",http://www.globi.ca/splash.php
"Haba Nero Consulting Group	",http://www.habaneroconsulting.com/
"Hatsize	",http://hatsize.com/
"HIW Surveys Ltd	",http://www.hiwsurveys.com/
"HotButton Solutions Inc.	",http://www.hotbuttonsolutions.com/
"iAppeal	",
"ICEsoft Technologies Inc	",http://www.icesoft.org/java/home.jsf
"InfoSpec Systems Inc	",http://www.profitek.com/
"INFRAmation Inc	",http://www.informationinc.net
"Internet Concepts Ltd	",http://www.wipsoftware.com/
"Internet Matrix Inc	",http://www.internetmatrix.com/
"Interthink Consulting , Inc.	",http://interthink.ca/
"Iron Lava Corp	",http://www.ironlava.com/
"IT Architects	",
"ITP Web Solutions Inc	",
"Ivrnet Inc	",http://ivrnet.com/
"Jencess Software & Technologies , Inc.	",http://www.jencess.com/
"Jet Label Gallery	",http://www.jet-label.com/
"K-PAR Archiving Software Ltd	",http://www.k-par.com/
"KYDO TECH Inc	",http://www.kydotech.com/
"LADEN Steel Fabricators Inc	",http://www.laden.ca
"Lemberg Systems. , Company	",http://www.lemberg-systems.com/
"Lexicore Inc	",http://www.lexicoreinc.com/
"Logicorp	",http://www.logicorpllc.com/
"Lugg Computing Inc	",http://www.lugg.com/
"M-Tech Information Technology Inc	",
"Mactavish Professional Services	",
"Madentec Limited	",http://www.madentec.com/
"Market Web Solutions Inc	",http://www.marketwebsolutions.com#sthash.9SiP0Z36.dpuf
"MasterWorks Software Systems Ltd.	",http://www.masterworkssoftware.com/
"mBase.com Inc	",http://www.mbase.com/
"Media Dog Productions Inc	",http://www.mediadog.ca/
"Megawheels Inc.	",http://www.megawheels.com/
"Mentor Engineering Inc	",http://www.mentoreng.com/
"Microhard Systems Inc.	",http://www.microhardcorp.com/
"Microlynx Systems Ltd.	",http://www.microlynxsystems.com/
"Misoftprog Canada	",http://www.misoftprog.com/
"Montage Technologies , Inc.	",http://www.montagetech.com/
"MSI Systems Integration Ltd	",
"Myrias Computer Technologies , Inc.	",http://www.myrias.com/
"N-Tier Inc	",http://www.n-tier.com
"National Medical Solutions Inc	",
"NAVTEQ Corporation	",http://www.navteq.com/
"NE2 Corp	",
"Neotechnology Consultants Ltd.	",
"Netera Alliance	",http://www.netera.ca/
"NextLibrary Inc	",
"Nolan Walker Consulting Inc	",http://www.nolanwalker.com/
"O'Sullivan Systems Consulting Ltd.	",http://www.osconsulting.net/
"Omni Technology Solutions Inc	",http://www.omni-ts.com/
"Online Business Systems	",http://www.obsglobal.com/
"Online Data Consulting Ltd	",http://onlinedc.com
"Open Door Technology Inc	",http://www.opendoor.ca/
"OpenBSD	",http://www.openbsd.org
"OpenSSH	",http://www.openssh.com
"Optimal Technologies International Inc.	",http://oti-c4s.com/
"Ormed Information Systems Ltd.	",http://www.ormed.com
"pcNimbus Inc	",http://www.pcnimbus.com/
"PDF Tools AG	",https://www.pdf-tools.com
"PiperCreek Software Ltd	",
"Pocketop Inc	",http://www.pocketop.net
"PointApex Technologies Incorporated	",http://www.pointapex.com
"Polaris Technologies Ltd	",
"PPM	",
"Prairie Sun Creations Inc.	",
"Praize Inc	",http://www.praiseinc.com/
"Pro-Ware Computing Inc	",http://www.prowarecomputing.com/
"PsiNaptic Inc	",http://www.psinaptic.com/
"Quadrus Development Inc	",http://www.quadrus.com
"Quantera Global Inc.	",http://www.quantera.com/
"Rapid Technology Corporation	",http://www.raptek.com
"RealPageMaker	",http://www.realpagemaker.com
"RECON Petrotechnologies Ltd	",http://www.reconpetro.com
"Redengine Inc.	",http://www.redengine.com#sthash.lhiHGaoz.dpuf
"Remsoft Inc.	",http://www.remsoft.com/cn/
"Sabre Software & Consulting Ltd.	",http://www.sabresoft.com/
"Safefreight Technology Corporation	",http://www.safefreight.com/
"Siconix Inc	",http://www.siconix.com
"Software Ventures Ltd.	",
"Solidhouse	",http://www.solidhouse.com/
"Sports Injuries Online Inc	",
"Startech Business Systems Ltd	",http://www.startech.ca
"Sterne Stackhouse Inc	",
"STRATHCOM MEDIA INC.	",http://www.strathcom.ca/
"Suitcase Interactive Inc	",http://www.suitcaseinteractive.com
"Sunaptic Solutions Incorporated	",
"Sunergon Information Services , Inc.	",http://www.sunergon.com
"Sylogist Ltd.	",http://www.sylogist.com
"Synergy Farm Solutions	",http://www.synergyfarmsolutions.com
"TAMA Inc.	",
"Technical Toolboxes Canada Ltd	",http://www.ttoolboxes.com
"Technology North Corporation	",http://www.technologynorth.net
"Teilhard Technologies Inc	",http://www.teilhardtech.com/
"Tele-Plus Management Inc	",http://www.teleplus.ab.ca
"Telin Systems Ltd	",http://www.telin.com
"Temple Technologies	",http://www.templetechnologies.com
"Terra Software Corporation	",http://www.terrasoftware.com
"The A4W Consulting Group	",
"The Proactive Group	",http://www.proactivegroup.net/
"Thimm Engineering Inc	",http://www.hfthimm.com
"Tin Warrior	",http://tin-warrior.com/
"Titan Digital Corporation	",http://www.titandigitalcorp.com/
"TLD Computers Inc. , incorporated	",
"Trakware Systems Inc.	",http://www.trakware.com
"Treetop Tech Inc	",http://www.treetopt.com
"Trinus Technologies Inc	",http://www.trinustech.com
"Tucker Wireline Services Canada Inc.	",http://www.tuckerenergy.com/
"Twin Solutions Inc	",http://www.twinsolutions.ca/
"Unicus Data Systems Ltd	",http://www.unicusdata.com/
"Upside Software Inc	",http://www.upsidesoft.com/
"Vestrion Systems Incorporated	",http://www.vestrion.org
"Viaticam Ltd	",http://www.viaticam.com
"Viewpoint Support Inc	",http://viewpoint.com/
"VIN IQ Inc.	",http://www.viniq.com
"VTN Technologies Inc.	",http://www.vtn-tech.com/
"Warp Internet Labs Inc	",http://warp-internet-labs-inc.alberta.canadab.com/
"Web Technology Service Provider	",
"Web-Sters Systems Inc	",
"WellPoint Systems Inc.	",http://www.wellpointsystems.com/
"Wizgod Inc	",http://www.wizgod.com
"Woodside Research Ltd	",
"Worldprofit Inc	",http://worldprofit.com/
"YottaYotta , Inc.	",http://www.yottayotta.com/
"ZCL Composites Inc.	",http://www.zcl.com
"Zi Corporation	",http://www.zicorp.com/
"Zokero Inc.	",http://www.zotero.org
