location,category,code,quota,first,second,invitations,candidates,spots,chances,sub_txt,sub_quota,sub_first,sub_second,sub_invitations,sub_candidates,sub_spots,sub_chances
Greece,yp,gr,10,"Week of January 9, 2023",NA,73,2,0,1,,,,,,,,
Hong Kong Special Administrative Region,wh,hk,200,"Week of January 9, 2023",NA,182,11,90,1,,,,,,,,
Ireland,coop,ie,50,"Week of January 9, 2023",NA,6,0,46,1,,,,,,,,
Ireland,wh,ie,"10,500","Week of January 9, 2023",NA,"3,228",280,"8,466",1,,,,,,,,
Ireland,yp,ie,150,"Week of January 9, 2023",NA,44,6,138,1,,,,,,,,
Italy,coop,it,50,"Week of January 9, 2023",NA,4,1,47,1,,,,,,,,
Italy,wh,it,1000,"Week of January 9, 2023",NA,874,70,"1,184",1,,,,,,,,
Italy,yp,it,200,"Week of January 9, 2023",NA,107,8,158,1,,,,,,,,
Japan,wh,jp,"6,500","Week of January 9, 2023",NA,"2,058",281,"4,957",1,,,,,,,,
"Korea, Republic",wh,kr,"4,000","Week of January 9, 2023",NA,"5,586","1,342",632,2,,,,,,,,
"Latvia, Republic",coop,lv,2,"Week of January 9, 2023",NA,0,0,2,1,,,,,,,,
"Latvia, Republic",wh,lv,40,"Week of January 9, 2023",NA,57,1,0,1,,,,,,,,
"Latvia, Republic",yp,lv,8,"Week of January 9, 2023",NA,3,0,7,1,,,,,,,,
Lithuania,coop,lt,5,"Week of January 16, 2023",NA,0,0,5,1,,,,,,,,
Lithuania,wh,lt,175,"Week of January 16, 2023",NA,215,16,59,1,,,,,,,,
Lithuania,yp,lt,20,"Week of January 16, 2023",NA,15,0,14,1,,,,,,,,
Luxembourg,coop,lb,10,"Week of January 9, 2023",NA,3,0,9,1,,,,,,,,
Luxembourg,wh,lb,80,"Week of January 9, 2023",NA,14,0,71,1,,,,,,,,
Luxembourg,yp,lb,10,"Week of January 9, 2023",NA,0,0,10,1,,,,,,,,
Netherlands,wh,nl,430,"Week of January 9, 2023",NA,488,31,69,1,,,,,,,,
Netherlands,yp,nl,170,"Week of January 9, 2023",NA,67,3,130,1,,,,,,,,
New Zealand,wh,nz,"2,500","Week of January 9, 2023",NA,858,61,"1,867",1,,,,,,,,
Norway,coop,no,5,"Week of January 9, 2023",NA,0,0,5,1,,,,,,,,
Norway,wh,no,130,"Week of January 9, 2023",NA,28,4,113,1,,,,,,,,
Norway,yp,no,15,"Week of January 9, 2023",NA,2,2,13,1,,,,,,,,
Poland,coop,pl,5,"Week of January 9, 2023",NA,2,0,3,1,,,,,,,,
Poland,wh,pl,635,"Week of January 9, 2023",NA,346,28,422,1,,,,,,,,
Poland,yp,pl,110,"Week of January 9, 2023",NA,25,0,99,1,,,,,,,,
Portugal,coop,pt,50,"Week of January 9, 2023",NA,2,1,49,1,,,,,,,,
Portugal,wh,pt,"1,750","Week of January 9, 2023",NA,347,37,"1,495",1,,,,,,,,
Portugal,yp,pt,200,"Week of January 9, 2023",NA,15,1,192,1,,,,,,,,
Recognized Organizations,,,NA,"Week of January 9, 2023",NA,NA,"1,407",NA,0,,,,,,,,
San Marino,wh,sm,25,"Week of January 9, 2023",NA,4,0,22,1,,,,,,,,
Slovakia,coop,sk,5,"Week of January 16, 2023",NA,0,0,5,1,,,,,,,,
Slovakia,wh,sk,315,"Week of January 16, 2023",NA,248,16,156,1,,,,,,,,
Slovakia,yp,sk,30,"Week of January 16, 2023",NA,21,1,18,1,,,,,,,,
Slovenia,coop,si,5,"Week of January 9, 2023",NA,0,0,5,1,,,,,,,,
Slovenia,wh,si,80,"Week of January 9, 2023",NA,23,0,70,1,,,,,,,,
Slovenia,yp,si,15,"Week of January 9, 2023",NA,1,0,14,1,,,,,,,,
Spain,coop,es,50,"Week of January 9, 2023",NA,2,0,49,1,,,,,,,,
Spain,wh,es,800,"Week of January 9, 2023",NA,837,65,250,1,,,,,,,,
Spain,yp,es,150,"Week of January 9, 2023",NA,60,5,121,1,ICEX Vives,50,"Week of January 9, 2023",NA,NA,NA,50,True
Sweden,coop,se,20,"Week of January 9, 2023",NA,1,0,20,1,,,,,,,,
Sweden,wh,se,580,"Week of January 9, 2023",NA,107,13,519,1,,,,,,,,
Sweden,yp,se,100,"Week of January 9, 2023",NA,10,1,96,1,,,,,,,,
Switzerland,coop,ch,50,"Week of January 9, 2023",NA,9,3,44,1,,,,,,,,
Switzerland,yp,ch,200,"Week of January 9, 2023",NA,92,14,139,1,,,,,,,,
Taiwan,coop,tw,10,"Week of January 9, 2023",NA,6,2,9,1,,,,,,,,
Taiwan,wh,tw,940,"Week of January 9, 2023",NA,"1,588","1,318",54,3,,,,,,,,
Taiwan,yp,tw,50,"Week of January 9, 2023",NA,60,4,23,1,,,,,,,,
United Kingdom,wh,gb,"8,000","Week of January 9, 2023",NA,"4,067",420,"2,474",1,,,,,,,,
Ukraine,coop,ua,NA,NA,NA,NA,Not,NA,0,,,,,,,,
Ukraine,wh,ua,NA,NA,NA,NA,Not,NA,0,,,,,,,,
Ukraine,yp,ua,NA,NA,NA,NA,Not,NA,0,,,,,,,,
Mexico,coop,mx,NA,NA,NA,NA,Not,NA,0,,,,,,,,
Mexico,wh,mx,NA,NA,NA,NA,Not,NA,0,,,,,,,,
Mexico,yp,mx,NA,NA,NA,NA,Not,NA,0,,,,,,,,
